search_keyword,qc,cc,ctr,uqc,ucc,uctr
주방청소,37,32,86.48648648648648,5,5,100.0
제습기,177,10,5.649717514124294,143,6,4.195804195804196
타일시트지,28,6,21.428571428571427,22,2,9.090909090909092
좌식화장대,106,13,12.264150943396226,75,8,10.666666666666666
옐로우,10,4,40.0,4,1,25.0
소품가구,16,16,100.0,1,1,100.0
쟁반,78,12,15.384615384615385,59,6,10.169491525423728
수납함,277,68,24.548736462093864,180,18,10.0
홈카페 수납장,13,2,15.384615384615385,8,1,12.5
침실,116,70,60.3448275862069,41,14,34.146341463414636
쿠키,11,8,72.72727272727273,3,1,33.333333333333336
화분커버,12,5,41.666666666666664,7,1,14.285714285714286
테라스테이블,14,1,7.142857142857143,12,1,8.333333333333334
커튼 설치,105,43,40.95238095238095,46,24,52.17391304347826
오덴세,69,13,18.840579710144926,52,9,17.307692307692307
침대소파,17,3,17.647058823529413,12,1,8.333333333333334
좁은 주방,15,2,13.333333333333334,4,1,25.0
캐비넷,66,14,21.21212121212121,45,8,17.77777777777778
매트리스 패드,22,3,13.636363636363637,18,3,16.666666666666668
욕실선반,188,42,22.340425531914892,105,14,13.333333333333334
우드레이,21,1,4.761904761904762,18,1,5.555555555555555
차렵이불,145,10,6.896551724137931,114,7,6.140350877192983
1인 책상,18,0,0.0,12,0,0.0
테이블보,236,32,13.559322033898304,169,18,10.650887573964496
협탁,1303,127,9.746738296239448,934,74,7.922912205567452
월행잉,14,2,14.285714285714286,9,2,22.22222222222222
패딩보관,10,3,30.0,8,3,37.5
일리캡슐,29,4,13.793103448275861,21,2,9.523809523809524
패브릭커튼,30,2,6.666666666666667,23,2,8.695652173913043
원룸 스타일링,13,11,84.61538461538461,1,1,100.0
섬유유연제,21,1,4.761904761904762,13,1,7.6923076923076925
이층침대,39,9,23.076923076923077,18,6,33.333333333333336
내 방,19,16,84.21052631578948,3,2,66.66666666666667
삼각쿠션,28,4,14.285714285714286,20,3,15.0
이불 세트,25,0,0.0,19,0,0.0
토스트기,52,4,7.6923076923076925,43,3,6.976744186046512
시네빔,15,1,6.666666666666667,12,1,8.333333333333334
책정리,15,5,33.333333333333336,9,2,22.22222222222222
쿠폰,11,0,0.0,10,0,0.0
아기옷걸이,10,1,10.0,10,1,10.0
브러쉬꽂이,24,0,0.0,21,0,0.0
장식,13,4,30.76923076923077,6,2,33.333333333333336
욕실의자,16,0,0.0,13,0,0.0
좁은 집,10,5,50.0,2,1,50.0
코너행거,20,0,0.0,19,0,0.0
인견이불,13,2,15.384615384615385,9,2,22.22222222222222
렌지가드,14,0,0.0,11,0,0.0
레이스,39,4,10.256410256410257,27,3,11.11111111111111
원목 테이블,26,1,3.8461538461538463,23,1,4.3478260869565215
조적욕조,10,7,70.0,3,2,66.66666666666667
나무선반,21,1,4.761904761904762,15,1,6.666666666666667
빈티지 러그,20,5,25.0,14,2,14.285714285714286
주방매트,173,17,9.826589595375722,125,11,8.8
장 스탠드,13,0,0.0,12,0,0.0
바네스데코 햄퍼,16,0,0.0,15,0,0.0
단열벽지,11,0,0.0,10,0,0.0
작은창커튼,57,7,12.280701754385966,42,4,9.523809523809524
투룸,39,11,28.205128205128204,22,6,27.272727272727273
내열유리컵,28,5,17.857142857142858,21,3,14.285714285714286
수유의자,40,2,5.0,35,2,5.714285714285714
미니 선반,78,2,2.5641025641025643,66,2,3.0303030303030303
화장솜정리함,10,1,10.0,7,1,14.285714285714286
높은침대,10,0,0.0,7,0,0.0
의자쿠션,10,0,0.0,9,0,0.0
모던하우스,95,25,26.31578947368421,57,13,22.80701754385965
집들이선물,187,84,44.919786096256686,80,25,31.25
소파사이드테이블,13,3,23.076923076923077,8,1,12.5
야전침대,11,0,0.0,9,0,0.0
라탄테이블,44,28,63.63636363636363,13,5,38.46153846153846
유럽,18,11,61.111111111111114,6,2,33.333333333333336
맥,13,9,69.23076923076923,4,2,50.0
마스크,32,0,0.0,26,0,0.0
핸드드립,22,4,18.181818181818183,15,3,20.0
타프,38,7,18.42105263157895,26,4,15.384615384615385
셋탑박스 정리,10,2,20.0,4,1,25.0
선반대,14,1,7.142857142857143,13,1,7.6923076923076925
홈짐,31,21,67.74193548387096,10,5,50.0
오래된 빌라,11,7,63.63636363636363,3,3,100.0
부엌매트,24,8,33.333333333333336,10,4,40.0
홈가드닝,12,7,58.333333333333336,4,1,25.0
문,19,4,21.05263157894737,14,2,14.285714285714286
조미료통,37,4,10.81081081081081,25,3,12.0
이불 정리,15,7,46.666666666666664,7,3,42.857142857142854
데코,12,1,8.333333333333334,9,1,11.11111111111111
벽,72,36,50.0,30,7,23.333333333333332
매트리스토퍼,40,5,12.5,30,3,10.0
상,18,3,16.666666666666668,15,1,6.666666666666667
창문형에어컨,17,4,23.529411764705884,11,2,18.181818181818183
침대 커버,36,0,0.0,30,0,0.0
캔들워머,129,15,11.627906976744185,97,6,6.185567010309279
서랍 칸막이,11,1,9.090909090909092,8,1,12.5
홈카페수납장,10,0,0.0,10,0,0.0
1인용쇼파,45,4,8.88888888888889,33,2,6.0606060606060606
스타우브,68,10,14.705882352941176,52,8,15.384615384615385
현관인테리어,30,15,50.0,8,5,62.5
비포애프터,36,32,88.88888888888889,4,3,75.0
침대 쿠션,11,2,18.181818181818183,5,1,20.0
전동커튼,19,3,15.789473684210526,14,2,14.285714285714286
감성캠핑,15,7,46.666666666666664,7,2,28.571428571428573
벽선반,249,53,21.285140562248998,156,25,16.025641025641026
가구,26,15,57.69230769230769,10,1,10.0
뚫어뻥,16,3,18.75,13,3,23.076923076923077
애플워치,16,3,18.75,13,2,15.384615384615385
방수러그,25,0,0.0,22,0,0.0
강아지방석,25,1,4.0,17,1,5.882352941176471
패턴러그,11,0,0.0,10,0,0.0
공간분리 커튼,23,7,30.434782608695652,12,5,41.666666666666664
바지정리함,10,0,0.0,9,0,0.0
네오플램,22,4,18.181818181818183,16,4,25.0
홈웨어,23,1,4.3478260869565215,18,1,5.555555555555555
멀티탭 정리함,34,3,8.823529411764707,28,1,3.5714285714285716
욕실 매트,39,10,25.641025641025642,28,4,14.285714285714286
타일,130,37,28.46153846153846,80,18,22.5
미니수납장,32,1,3.125,27,1,3.7037037037037037
세탁,20,11,55.0,6,3,50.0
슈퍼싱글침대프레임,13,1,7.6923076923076925,12,1,8.333333333333334
안전문,27,5,18.51851851851852,18,2,11.11111111111111
네임택,11,2,18.181818181818183,6,2,33.333333333333336
마우스패드,78,12,15.384615384615385,48,8,16.666666666666668
서재인테리어,22,17,77.27272727272727,6,5,83.33333333333333
변기솔,43,9,20.930232558139537,26,4,15.384615384615385
테이블 보,50,1,2.0,46,1,2.1739130434782608
차박,36,8,22.22222222222222,24,3,12.5
소니wh1000xm4,31,0,0.0,30,0,0.0
방묘문,29,11,37.93103448275862,15,6,40.0
이케아 스툴,11,0,0.0,11,0,0.0
타이머,10,2,20.0,8,1,12.5
화장대정리함,114,29,25.43859649122807,72,16,22.22222222222222
쓰레기통 ,12,0,0.0,9,0,0.0
테라스,117,46,39.31623931623932,60,23,38.333333333333336
커피,41,11,26.829268292682926,25,6,24.0
신발정리대,91,9,9.89010989010989,70,5,7.142857142857143
전원주택,11,4,36.36363636363637,5,2,40.0
3인쇼파,11,0,0.0,11,0,0.0
벽가리개,19,12,63.1578947368421,7,3,42.857142857142854
전자레인지,286,17,5.944055944055944,222,13,5.8558558558558556
4인 소파,12,3,25.0,7,2,28.571428571428573
작은방인테리어,10,5,50.0,4,3,75.0
이케아 수납,14,7,50.0,6,2,33.333333333333336
이불솜,47,10,21.27659574468085,30,6,20.0
실내화,340,26,7.647058823529412,252,16,6.349206349206349
1인 리클라이너,22,0,0.0,19,0,0.0
매거진랙,74,8,10.81081081081081,54,4,7.407407407407407
장식장,148,10,6.756756756756757,104,7,6.730769230769231
tv다이,46,0,0.0,39,0,0.0
소품,88,19,21.59090909090909,53,7,13.20754716981132
요거트볼,87,21,24.137931034482758,57,7,12.280701754385966
모자걸이,104,33,31.73076923076923,59,12,20.338983050847457
4인식탁,22,0,0.0,21,0,0.0
원목 거울,10,6,60.0,2,1,50.0
가전,14,13,92.85714285714286,2,2,100.0
조명등,14,0,0.0,12,0,0.0
욕실 수납장,36,6,16.666666666666668,25,4,16.0
화이트 수납장,10,1,10.0,4,1,25.0
수납 전신거울,29,0,0.0,19,0,0.0
가방걸이,143,18,12.587412587412587,109,7,6.422018348623853
고양이밥그릇,11,0,0.0,10,0,0.0
샤워가운,60,15,25.0,39,7,17.94871794871795
욕실 청소,135,76,56.2962962962963,42,18,42.857142857142854
커트러리세트,25,9,36.0,15,4,26.666666666666668
빨래망,11,3,27.272727272727273,8,1,12.5
배드스커트,11,0,0.0,8,0,0.0
스크린,28,5,17.857142857142858,21,4,19.047619047619047
좌식의자,183,28,15.300546448087431,121,16,13.223140495867769
옷정리,360,199,55.27777777777778,128,61,47.65625
그리들,12,2,16.666666666666668,10,1,10.0
이케아 거울,20,0,0.0,14,0,0.0
테라스가림막,10,1,10.0,8,1,12.5
싱크대시트지,49,33,67.34693877551021,13,9,69.23076923076923
큐티폴,10,0,0.0,7,0,0.0
주방커튼,26,0,0.0,25,0,0.0
포크,83,15,18.072289156626507,52,6,11.538461538461538
호텔침대,34,4,11.764705882352942,26,3,11.538461538461538
홑이불,26,5,19.23076923076923,21,3,14.285714285714286
영가구,12,1,8.333333333333334,10,1,10.0
의자다리커버,18,0,0.0,16,0,0.0
접이식쇼파,13,1,7.6923076923076925,7,1,14.285714285714286
모션데스크,29,2,6.896551724137931,25,2,8.0
파자마,45,0,0.0,35,0,0.0
패브릭 포스터 대형,14,0,0.0,14,0,0.0
원룸 러그,11,5,45.45454545454545,6,3,50.0
창문닦이,19,4,21.05263157894737,14,3,21.428571428571427
센스맘,17,0,0.0,13,0,0.0
조리대,27,2,7.407407407407407,17,2,11.764705882352942
빨래,47,17,36.170212765957444,23,6,26.08695652173913
침구교체,13,6,46.15384615384615,6,1,16.666666666666668
디퓨저,270,38,14.074074074074074,197,22,11.16751269035533
이케아 스탠드,16,0,0.0,14,0,0.0
본체받침대,19,4,21.05263157894737,12,3,25.0
벙커침대책상,18,2,11.11111111111111,12,2,16.666666666666668
사다리선반,10,2,20.0,8,1,12.5
만들기,12,9,75.0,3,3,100.0
작은창암막커튼,10,0,0.0,6,0,0.0
메모리폼매트리스,28,3,10.714285714285714,19,2,10.526315789473685
칫솔꽂이,311,52,16.720257234726688,210,25,11.904761904761905
벽걸이 티비,19,14,73.6842105263158,5,4,80.0
선반가리개,26,13,50.0,11,3,27.272727272727273
원목스툴,33,1,3.0303030303030303,24,1,4.166666666666667
탈취제,22,5,22.727272727272727,17,2,11.764705882352942
공구박스,11,2,18.181818181818183,6,1,16.666666666666668
태블릿거치대,16,0,0.0,15,0,0.0
스탠드조명,232,19,8.189655172413794,182,15,8.241758241758241
그릴,15,0,0.0,11,0,0.0
라꾸라꾸,10,0,0.0,9,0,0.0
시디즈,117,12,10.256410256410257,89,7,7.865168539325842
쿠션커버,80,7,8.75,62,3,4.838709677419355
5단서랍장,22,7,31.818181818181817,13,4,30.76923076923077
이케아 추천,19,18,94.73684210526316,3,3,100.0
북타워,45,0,0.0,41,0,0.0
인터폰박스,10,4,40.0,5,2,40.0
캐노피,16,5,31.25,10,4,40.0
원룸 베란다,10,8,80.0,3,3,100.0
욕실시공,14,13,92.85714285714286,1,1,100.0
무타공 블라인드,19,2,10.526315789473685,14,1,7.142857142857143
수납,644,393,61.024844720496894,211,59,27.96208530805687
욕실 코너 선반,14,0,0.0,14,0,0.0
향수 트레이,15,3,20.0,11,2,18.181818181818183
자취방꾸미기,22,17,77.27272727272727,3,3,100.0
이케아 조명,70,10,14.285714285714286,51,4,7.8431372549019605
접이식 의자,120,16,13.333333333333334,88,8,9.090909090909092
모듈 선반,76,10,13.157894736842104,56,4,7.142857142857143
아꾸드레,10,0,0.0,8,0,0.0
목걸이 거치대,14,0,0.0,11,0,0.0
휘슬러,14,4,28.571428571428573,10,3,30.0
미니청소기,24,0,0.0,21,0,0.0
식탁의자,326,55,16.87116564417178,204,32,15.686274509803921
매트리스 토퍼,12,0,0.0,11,0,0.0
티슈커버,20,5,25.0,12,3,25.0
도자기화병,14,0,0.0,9,0,0.0
틈새 활용,10,7,70.0,1,1,100.0
가리개포스터,11,2,18.181818181818183,9,1,11.11111111111111
중문가리개,11,0,0.0,5,0,0.0
벌레차단,17,6,35.294117647058826,7,2,28.571428571428573
암막,24,4,16.666666666666668,19,2,10.526315789473685
변기,28,14,50.0,12,4,33.333333333333336
고데기,16,1,6.25,13,1,7.6923076923076925
쓰레기봉투정리,15,13,86.66666666666667,4,4,100.0
붙이는 암막커튼,11,0,0.0,9,0,0.0
회사,11,7,63.63636363636363,4,3,75.0
머쉬룸 조명,21,2,9.523809523809524,16,1,6.25
이동식 트롤리,13,4,30.76923076923077,6,2,33.333333333333336
물조리개,30,0,0.0,22,0,0.0
자연,10,1,10.0,5,1,20.0
사이드보드,11,1,9.090909090909092,7,1,14.285714285714286
하부장정리,10,2,20.0,8,2,25.0
낮은 천장,12,10,83.33333333333333,1,1,100.0
모던미드센추리,26,5,19.23076923076923,19,3,15.789473684210526
모자수납,11,5,45.45454545454545,5,1,20.0
북유럽,10,2,20.0,8,1,12.5
거실 매트,26,5,19.23076923076923,16,2,12.5
나무도마,18,0,0.0,16,0,0.0
아늑,14,3,21.428571428571427,11,1,9.090909090909092
침실협탁,19,2,10.526315789473685,12,2,16.666666666666668
숟가락,28,6,21.428571428571427,14,3,21.428571428571427
1인쇼파,82,7,8.536585365853659,56,6,10.714285714285714
체커보드 러그,70,6,8.571428571428571,55,6,10.909090909090908
수저정리함,46,12,26.08695652173913,28,6,21.428571428571427
팬트리,95,35,36.8421052631579,48,14,29.166666666666668
붙이는조명,17,8,47.05882352941177,9,2,22.22222222222222
린넨커튼,30,4,13.333333333333334,24,3,12.5
행거가리개,39,5,12.820512820512821,33,3,9.090909090909092
침실인테리어,44,29,65.9090909090909,12,7,58.333333333333336
식탁 의자,105,19,18.095238095238095,70,7,10.0
바미르,19,1,5.2631578947368425,12,1,8.333333333333334
방 분리,34,32,94.11764705882354,2,1,50.0
모둘선반,22,6,27.272727272727273,16,4,25.0
라탄,143,30,20.97902097902098,87,13,14.942528735632184
멀티탭커버,14,5,35.714285714285715,8,3,37.5
포스터액자,25,0,0.0,23,0,0.0
붙이는 블라인드,27,2,7.407407407407407,23,2,8.695652173913043
빨아쓰는 규조토 발매트,14,1,7.142857142857143,13,1,7.6923076923076925
화장대600,15,0,0.0,10,0,0.0
보냉백,15,0,0.0,13,0,0.0
우드 주방,10,8,80.0,1,1,100.0
탁상용선풍기,28,2,7.142857142857143,20,2,10.0
스텐드조명,39,3,7.6923076923076925,30,3,10.0
라지킹침구세트,10,0,0.0,10,0,0.0
스위치가리개,11,3,27.272727272727273,5,1,20.0
원룸꾸미기,23,9,39.130434782608695,12,3,25.0
아트월,32,15,46.875,12,9,75.0
배란다꾸미기,26,17,65.38461538461539,8,5,62.5
무풍에어컨,15,1,6.666666666666667,11,1,9.090909090909092
패딩 정리,10,7,70.0,2,2,100.0
보드,11,0,0.0,9,0,0.0
원룸공간,15,15,100.0,1,1,100.0
욕실 선반,99,36,36.36363636363637,52,16,30.76923076923077
화장대 수납,13,4,30.76923076923077,8,2,25.0
Diy가구,10,9,90.0,1,1,100.0
칼집,15,0,0.0,12,0,0.0
접이식 스툴,21,1,4.761904761904762,16,1,6.25
욕조트레이,20,0,0.0,20,0,0.0
빔 스크린,21,9,42.857142857142854,8,4,50.0
쇼파커버,204,21,10.294117647058824,142,12,8.450704225352112
현관 수납,11,0,0.0,10,0,0.0
수건수납장,11,1,9.090909090909092,9,1,11.11111111111111
계단,13,0,0.0,13,0,0.0
주방 선반,74,30,40.54054054054054,42,6,14.285714285714286
생리대 보관,11,4,36.36363636363637,7,3,42.857142857142854
틈새선반,92,8,8.695652173913043,70,5,7.142857142857143
매트리스 깔판,150,10,6.666666666666667,120,10,8.333333333333334
고기불판,10,0,0.0,9,0,0.0
20l쓰레기통,10,1,10.0,8,1,12.5
풍경,18,7,38.888888888888886,7,2,28.571428571428573
벽걸이,39,4,10.256410256410257,24,2,8.333333333333334
유리창청소,28,15,53.57142857142857,12,6,50.0
캠핑테이블,64,6,9.375,48,3,6.25
타공판,118,26,22.033898305084747,83,8,9.63855421686747
난로,10,0,0.0,6,0,0.0
코스타노바,20,1,5.0,12,1,8.333333333333334
드롱기,25,3,12.0,20,2,10.0
펜트리정리,10,6,60.0,4,3,75.0
브라켓,13,3,23.076923076923077,10,2,20.0
주방정리,153,115,75.16339869281046,31,17,54.83870967741935
3인 쇼파,50,6,12.0,30,4,13.333333333333334
4인식탁세트,39,1,2.5641025641025643,33,1,3.0303030303030303
앞접시,59,10,16.949152542372882,39,8,20.512820512820515
커튼링,16,0,0.0,13,0,0.0
유리 협탁,10,0,0.0,6,0,0.0
좁은방,31,11,35.483870967741936,14,6,42.857142857142854
시어서커이불,24,2,8.333333333333334,17,2,11.764705882352942
미니휴지통,18,0,0.0,16,0,0.0
틈새,49,6,12.244897959183673,40,5,12.5
벽에 사진,16,11,68.75,3,3,100.0
옷걸이,588,105,17.857142857142858,403,33,8.188585607940446
싱글침대프레임,17,1,5.882352941176471,13,1,7.6923076923076925
후라이팬,97,25,25.77319587628866,57,9,15.789473684210526
샤오미,10,1,10.0,8,1,12.5
벙커침대,361,101,27.977839335180054,183,47,25.683060109289617
리퍼,2630,91,3.4600760456273765,2020,81,4.00990099009901
스토퍼,13,2,15.384615384615385,8,1,12.5
핸드워시,27,5,18.51851851851852,19,3,15.789473684210526
플레이팅,28,21,75.0,7,5,71.42857142857143
칫솔살균기,118,14,11.864406779661017,91,9,9.89010989010989
저울,17,3,17.647058823529413,15,3,20.0
향수 정리함,13,2,15.384615384615385,11,1,9.090909090909092
매입등,16,8,50.0,5,4,80.0
간식,14,9,64.28571428571429,3,2,66.66666666666667
침대프레임 콘센트,10,3,30.0,3,1,33.333333333333336
원룸 ,20,18,90.0,1,1,100.0
라탄러그,34,6,17.647058823529413,24,4,16.666666666666668
muji,11,0,0.0,11,0,0.0
미니쇼파,12,1,8.333333333333334,10,1,10.0
행거 가리개,19,2,10.526315789473685,17,2,11.764705882352942
물기제거,10,5,50.0,5,2,40.0
가죽 소파,19,0,0.0,13,0,0.0
캠핑 의자,26,3,11.538461538461538,20,2,10.0
오벌플레이트,12,4,33.333333333333336,7,4,57.142857142857146
행거커버,30,2,6.666666666666667,21,1,4.761904761904762
결혼선물,20,12,60.0,5,2,40.0
베란다 커튼,19,7,36.8421052631579,9,3,33.333333333333336
침대협탁,239,24,10.0418410041841,163,18,11.042944785276074
오븐수납,12,7,58.333333333333336,2,2,100.0
욕실서랍,11,7,63.63636363636363,3,1,33.333333333333336
계란말이팬,15,1,6.666666666666667,11,1,9.090909090909092
미니멀,66,29,43.93939393939394,30,10,33.333333333333336
튤립,14,0,0.0,13,0,0.0
바퀴의자,12,1,8.333333333333334,8,1,12.5
지브리,32,2,6.25,23,2,8.695652173913043
듀커,16,0,0.0,13,0,0.0
책상 꾸미기,22,13,59.09090909090909,9,4,44.44444444444444
옷수납,64,37,57.8125,23,8,34.78260869565217
바스툴,22,6,27.272727272727273,14,4,28.571428571428573
책장선반,30,4,13.333333333333334,23,3,13.043478260869565
행주건조대,10,0,0.0,9,0,0.0
싱크대물막이,29,6,20.689655172413794,21,4,19.047619047619047
마스크보관함,19,3,15.789473684210526,15,2,13.333333333333334
cd플레이어,87,2,2.2988505747126435,67,2,2.985074626865672
이동식에어컨,20,6,30.0,10,3,30.0
샤워기헤드,44,8,18.181818181818183,29,3,10.344827586206897
벽꾸미기,85,50,58.8235294117647,31,14,45.16129032258065
샷잔,23,3,13.043478260869565,18,2,11.11111111111111
유리협탁,13,6,46.15384615384615,7,1,14.285714285714286
펜트리장,11,1,9.090909090909092,8,1,12.5
마샬,89,12,13.48314606741573,65,5,7.6923076923076925
박스,36,10,27.77777777777778,22,3,13.636363636363637
메쉬망,14,1,7.142857142857143,10,1,10.0
주방시트지,29,16,55.172413793103445,13,5,38.46153846153846
바디럽,20,0,0.0,18,0,0.0
실리쿡,13,2,15.384615384615385,9,1,11.11111111111111
샤워기거치대,30,5,16.666666666666668,24,1,4.166666666666667
쌀씻는볼,12,2,16.666666666666668,8,1,12.5
식탁조명,55,30,54.54545454545455,23,8,34.78260869565217
식탁매트,87,4,4.597701149425287,71,3,4.225352112676056
행거 수납,14,12,85.71428571428571,2,1,50.0
2단 선반,15,0,0.0,13,0,0.0
1인용소파,18,1,5.555555555555555,13,1,7.6923076923076925
미드센츄리모던,41,9,21.951219512195124,22,7,31.818181818181817
패브릭 가리개,164,24,14.634146341463415,119,13,10.92436974789916
물뿌리개,13,0,0.0,13,0,0.0
가방 정리,16,0,0.0,14,0,0.0
멀티쿠커,30,0,0.0,24,0,0.0
헬로키티,10,0,0.0,9,0,0.0
마이멜로디,10,0,0.0,8,0,0.0
옷수납장,42,8,19.047619047619047,30,5,16.666666666666668
거실책장,10,5,50.0,6,2,33.333333333333336
드라잉매트,10,1,10.0,8,1,12.5
마그넷,39,8,20.512820512820515,24,4,16.666666666666668
시스템장,29,5,17.24137931034483,17,2,11.764705882352942
커피캡슐보관함,15,2,13.333333333333334,11,2,18.181818181818183
2인그릇세트,12,0,0.0,11,0,0.0
주방 조명,17,5,29.41176470588235,10,1,10.0
침대 틈새 선반,11,3,27.272727272727273,6,2,33.333333333333336
네일샵,11,0,0.0,10,0,0.0
내방,23,16,69.56521739130434,6,3,50.0
욕실수납,98,57,58.16326530612245,34,8,23.529411764705884
쇼파 쿠션,15,0,0.0,14,0,0.0
르크루제,23,5,21.73913043478261,15,4,26.666666666666668
라탄협탁,13,0,0.0,8,0,0.0
헤드셋 거치대,16,0,0.0,16,0,0.0
내돈내산,16,14,87.5,1,1,100.0
데미무드,10,0,0.0,7,0,0.0
나무,29,8,27.586206896551722,16,3,18.75
아일랜드홈바,17,2,11.764705882352942,9,2,22.22222222222222
삶의질,12,9,75.0,2,1,50.0
이불커버세트,11,0,0.0,9,0,0.0
라운지체어,12,1,8.333333333333334,11,1,9.090909090909092
테이블러너,39,0,0.0,32,0,0.0
원룸 꾸미기,908,562,61.8942731277533,291,175,60.13745704467354
수저정리,10,5,50.0,4,2,50.0
한샘소파,26,3,11.538461538461538,10,1,10.0
아이옷정리,15,11,73.33333333333333,5,4,80.0
물결거울,13,0,0.0,11,0,0.0
화장실발매트,11,0,0.0,9,0,0.0
수납전신거울,13,4,30.76923076923077,8,2,25.0
일렉트로룩스,17,0,0.0,14,0,0.0
비믹스,10,0,0.0,9,0,0.0
현관 타일,14,5,35.714285714285715,8,2,25.0
시계,643,125,19.440124416796266,425,51,12.0
주방타일시트지,16,12,75.0,6,4,66.66666666666667
앵두전구,27,8,29.62962962962963,12,3,25.0
책상 매트,13,0,0.0,11,0,0.0
노트북,24,3,12.5,17,2,11.764705882352942
체크,11,0,0.0,8,0,0.0
서랍장600,34,4,11.764705882352942,24,4,16.666666666666668
이케아 책장,17,1,5.882352941176471,13,1,7.6923076923076925
행잉식물,12,3,25.0,9,2,22.22222222222222
행거선반,10,2,20.0,7,1,14.285714285714286
잡지,12,0,0.0,10,0,0.0
플랜트박스,10,0,0.0,9,0,0.0
큐커,22,0,0.0,19,0,0.0
차박텐트,10,0,0.0,8,0,0.0
벽선반 무타공,27,1,3.7037037037037037,21,1,4.761904761904762
벽걸이선반,48,10,20.833333333333332,34,9,26.470588235294116
콘센트협탁,11,6,54.54545454545455,4,1,25.0
패브릭 소파,11,5,45.45454545454545,6,1,16.666666666666668
미니냉장고,67,0,0.0,55,0,0.0
포트메리온,20,1,5.0,18,1,5.555555555555555
피쉬본,31,0,0.0,28,0,0.0
노란색,15,9,60.0,7,5,71.42857142857143
홈오피스,135,89,65.92592592592592,42,28,66.66666666666667
슬리퍼,275,10,3.6363636363636362,214,7,3.2710280373831777
바닥재,11,0,0.0,11,0,0.0
마스크걸이,35,3,8.571428571428571,24,2,8.333333333333334
밥공기,13,0,0.0,9,0,0.0
김치통,11,4,36.36363636363637,6,2,33.333333333333336
휴지,24,0,0.0,23,0,0.0
꽃,49,16,32.6530612244898,27,3,11.11111111111111
여름이불세트,130,10,7.6923076923076925,104,5,4.8076923076923075
휴지 케이스,13,0,0.0,12,0,0.0
투룸인테리어,16,6,37.5,9,3,33.333333333333336
모던,15,6,40.0,8,3,37.5
서랍장400,15,0,0.0,14,0,0.0
핸드타올,38,5,13.157894736842104,27,5,18.51851851851852
무인양품,89,5,5.617977528089888,70,4,5.714285714285714
아이맥,24,8,33.333333333333336,13,4,30.76923076923077
냄비,150,10,6.666666666666667,113,6,5.3097345132743365
템바보드,118,24,20.338983050847457,82,14,17.073170731707318
그라인더,14,1,7.142857142857143,11,1,9.090909090909092
유리잔,28,3,10.714285714285714,16,3,18.75
유리 선반,12,1,8.333333333333334,7,1,14.285714285714286
프레임,95,19,20.0,65,10,15.384615384615385
발매트,829,40,4.8250904704463204,626,27,4.313099041533547
방 배치,10,5,50.0,2,1,50.0
펜던트조명,15,0,0.0,11,0,0.0
도배,49,25,51.02040816326531,21,12,57.142857142857146
omeko,42,0,0.0,39,0,0.0
전등,49,4,8.16326530612245,38,4,10.526315789473685
화분 선반,23,6,26.08695652173913,16,3,18.75
론체어,19,2,10.526315789473685,17,2,11.764705882352942
힙한,12,7,58.333333333333336,4,2,50.0
생화,29,12,41.37931034482759,13,4,30.76923076923077
데이베드,43,15,34.883720930232556,24,7,29.166666666666668
시스템옷장,11,1,9.090909090909092,10,1,10.0
베드스커트,19,1,5.2631578947368425,17,1,5.882352941176471
베드테이블,86,8,9.30232558139535,68,4,5.882352941176471
엽서,153,48,31.372549019607842,82,18,21.951219512195124
쓰임,22,4,18.181818181818183,13,1,7.6923076923076925
방석,369,23,6.233062330623306,287,13,4.529616724738676
일체형침대,17,7,41.1764705882353,9,2,22.22222222222222
미니화장대,71,7,9.859154929577464,52,5,9.615384615384615
화장실거울,22,8,36.36363636363637,13,5,38.46153846153846
저상형침대프레임,32,2,6.25,23,2,8.695652173913043
창문커튼,42,10,23.80952380952381,27,6,22.22222222222222
6평 원룸,19,14,73.6842105263158,5,3,60.0
식탁세트,47,2,4.25531914893617,40,2,5.0
