"search_keyword","qc","card_cc","avg_object_idx","click_ranking","object_idx_list","object_id_list"
"개다리소반","18.0","2.0","4.0","{4=2}","[4, 4]","[1702439, 1702439]"
"체크베개커버","75.0","16.0","3.56","{0=5, 2=2, 3=1, 4=2, 6=2, 7=2, 8=2}","[0, 7, 0, 2, 7, 0, 4, 8, 3, 0, 0, 4, 6, 6, 2, 8]","[6207228, 4062964, 6207228, 9504661, 15270612, 6207228, 9685048, 11747924, 11838198, 6207228, 6207228, 9685048, 4062964, 4062964, 11838198, 13347008]"
"투룸거실","11.0","3.0","1.67","{1=2, 3=1}","[1, 3, 1]","[11409460, 9246887, 11409460]"
"LED화장대","16.0","5.0","3.8","{0=1, 2=1, 4=1, 6=1, 7=1}","[4, 0, 6, 7, 2]","[10937092, 11560118, 10937089, 10937088, 11560118]"
"카페장","417.0","69.0","3.12","{0=14, 1=5, 2=12, 3=10, 4=9, 5=5, 6=7, 7=3, 8=4}","[4, 4, 3, 3, 0, 2, 1, 0, 6, 2, 0, 1, 0, 5, 2, 6, 2, 2, 0, 3, 3, 0, 8, 3, 6, 7, 6, 1, 5, 5, 0, 4, 0, 4, 7, 4, 0, 5, 2, 4, 0, 1, 3, 3, 2, 4, 2, 8, 0, 7, 4, 2, 6, 4, 2, 8, 6, 0, 5, 0, 3, 3, 2, 0, 6, 1, 8, 3, 2]","[14634269, 14634269, 12163992, 12163992, 12126878, 14117186, 14591580, 12126878, 15087585, 14634269, 12126878, 14591580, 12126878, 11834654, 12163992, 15087585, 14117186, 12163992, 12126878, 14634269, 12163992, 12126878, 8748634, 14634269, 9621388, 9621388, 15087585, 14591580, 15087585, 9517101, 12126878, 11834654, 12126878, 9349176, 8748634, 9349176, 12126878, 11834654, 14117186, 9349176, 12126878, 14591580, 14634269, 14634269, 12163992, 11834654, 14117186, 9621388, 12126878, 9621388, 9349176, 12163992, 9621388, 9349176, 14117186, 14117188, 9621388, 12126878, 15087585, 12126878, 12163992, 14634269, 14117186, 12126878, 9621388, 14591580, 8748634, 12163992, 14117186]"
"엘피판","16.0","1.0","4.0","{4=1}","[4]","[13904545]"
"수건보관함","37.0","1.0","1.0","{1=1}","[1]","[1129830]"
"아이폰 충전기","22.0","1.0","3.0","{3=1}","[3]","[11486067]"
"우드트롤리","12.0","1.0","0.0","{0=1}","[0]","[11068414]"
"1억원","60.0","1.0","2.0","{2=1}","[2]","[14435511]"
