"search_keyword","qc","cc","ctr"
"레이지보이","11","10","90.9090909090909"
"이케아협탁","14","3","21.428571428571427"
"모던미드센추리","58","45","77.58620689655173"
"모션베드","22","15","68.18181818181819"
"유로503","21","18","85.71428571428571"
"아치형 전신거울","29","13","44.827586206896555"
"테이블조명","16","4","25.0"
"#원룸","105","89","84.76190476190476"
"#집꾸미기","49","28","57.142857142857146"
"아기교구장","10","8","80.0"
"월넛색","22","6","27.272727272727273"
"도배","50","34","68.0"
"컵정리","32","23","71.875"
"큐커","53","40","75.47169811320755"
"하부장","39","14","35.8974358974359"
"핑크베이지","14","5","35.714285714285715"
"도시락통","54","21","38.888888888888886"
"계단","42","14","33.333333333333336"
"트웸코","10","6","60.0"
"현관문","183","124","67.75956284153006"
"헹거커버","11","4","36.36363636363637"
"체크베개커버","18","11","61.111111111111114"
"큐티폴고아","14","7","50.0"
"11자주방","45","33","73.33333333333333"
"거실","540","375","69.44444444444444"
"자석판","16","9","56.25"
"구정마루","14","9","64.28571428571429"
"초등","10","7","70.0"
"롤카페트","14","11","78.57142857142857"
"오투","15","5","33.333333333333336"
"무소음벽시계","82","44","53.65853658536585"
"월넛몰딩","11","7","63.63636363636363"
"오픈발코니","39","14","35.8974358974359"
"모듈협탁","52","29","55.76923076923077"
"식탁보","391","170","43.47826086956522"
"현관수납","19","10","52.63157894736842"
"5단서랍장800","12","4","33.333333333333336"
"책장가벽","22","14","63.63636363636363"
"현관거울","71","62","87.32394366197182"
"사물함","14","5","35.714285714285715"
"안방화장대","20","14","70.0"
"베개솜","44","2","4.545454545454546"
"삼성건조기","10","6","60.0"
"벽걸이 에어컨","10","3","30.0"
"현관복도","14","6","42.857142857142854"
"템버보드","21","14","66.66666666666667"
"24평거실","11","9","81.81818181818181"
"드림캐쳐","61","24","39.34426229508197"
"데시앙","16","3","18.75"
"화장품 트레이","11","5","45.45454545454545"
"부엌등","10","5","50.0"
"음악작업실","50","40","80.0"
"고블렛","13","5","38.46153846153846"
"티브이다이","11","6","54.54545454545455"
"원형테이블 900","13","6","46.15384615384615"
"4인용식탁세트","16","6","37.5"
"붙박이","20","9","45.0"
"씽크대선반","42","18","42.857142857142854"
"차렵이불패드세트","11","2","18.181818181818183"
"방화문","21","11","52.38095238095238"
"전자레인지선반","112","37","33.035714285714285"
"암막 블라인드","38","19","50.0"
"이불건조대","15","4","26.666666666666668"
"호텔형침대","10","6","60.0"
"티셔츠정리","15","3","20.0"
"아치형거울","18","9","50.0"
"석고상","16","7","43.75"
"화장실","548","384","70.07299270072993"
"서재방","52","40","76.92307692307692"
"벤스","10","8","80.0"
"주방 타일","38","30","78.94736842105263"
"우드 블라인드","24","19","79.16666666666667"
"발뮤다더레인지","16","10","62.5"
"안방서랍장","22","16","72.72727272727273"
"옷행거","25","11","44.0"
"아이방커튼","99","81","81.81818181818181"
"수납 전신거울","11","5","45.45454545454545"
"거을","10","0","0.0"
"단모러그","14","3","21.428571428571427"
"빨래바구니","642","309","48.13084112149533"
"북케이스","10","4","40.0"
"아치형","25","11","44.0"
"옷커버","51","23","45.09803921568628"
"이중커튼","36","22","61.111111111111114"
"스탠모어2","13","5","38.46153846153846"
"이케아욕실","13","7","53.84615384615385"
"거실 협탁","17","11","64.70588235294117"
"2인용쇼파","132","55","41.666666666666664"
"붙이는거울","24","15","62.5"
"장판","176","118","67.04545454545455"
"악세사리보관함","24","12","50.0"
"전기매트","19","4","21.05263157894737"
"궁중팬","13","3","23.076923076923077"
"원룸 옷장","18","14","77.77777777777777"
"데스커 책상","25","13","52.0"
"평상형침대프레임","16","12","75.0"
"키티버니포니","33","20","60.60606060606061"
"온습도계","14","4","28.571428571428573"
"7평 원룸","13","9","69.23076923076923"
"주방커텐","19","10","52.63157894736842"
"호크니","12","7","58.333333333333336"
"무아스시계","10","5","50.0"
"셋탑박스","17","12","70.58823529411765"
"쓰레기통20","26","8","30.76923076923077"
"거울리폼","10","9","90.0"
"독서실 책상","18","11","61.111111111111114"
"모자","21","7","33.333333333333336"
"블랙책상","13","8","61.53846153846154"
"에보니아벙커침대","13","7","53.84615384615385"
"디퓨져","46","14","30.434782608695652"
"린클","11","3","27.272727272727273"
"고양이 화장실","17","11","64.70588235294117"
"베란다 정리","13","10","76.92307692307692"
"에어프라이어","339","117","34.51327433628319"
"냉장고수납","20","6","30.0"
"철제서랍","22","11","50.0"
