search_keyword,qc,cc,ctr
레이지보이,11,10,90.9090909090909
이케아협탁,14,3,21.428571428571400
모던미드센추리,58,45,77.58620689655170
모션베드,22,15,68.18181818181820
유로503,21,18,85.71428571428570
아치형 전신거울,29,13,44.82758620689660
테이블조명,16,4,25.0
#집꾸미기,49,28,57.142857142857100
아기교구장,10,8,80.0
월넛색,22,6,27.272727272727300
컵정리,32,23,71.875
핑크베이지,14,5,35.714285714285700
도시락통,54,21,38.888888888888900
헹거커버,11,4,36.36363636363640
체크베개커버,18,11,61.11111111111110
11자주방,45,33,73.33333333333330
자석판,16,9,56.25
롤카페트,14,11,78.57142857142860
무소음벽시계,82,44,53.65853658536590
월넛몰딩,11,7,63.63636363636360
오픈발코니,39,14,35.8974358974359
모듈협탁,52,29,55.76923076923080
식탁보,391,170,43.47826086956520
현관수납,19,10,52.63157894736840
5단서랍장800,12,4,33.333333333333300
책장가벽,22,14,63.63636363636360
현관거울,71,62,87.32394366197180
안방화장대,20,14,70.0
베개솜,44,2,4.545454545454550
삼성건조기,10,6,60.0
벽걸이 에어컨,10,3,30.0
현관복도,14,6,42.85714285714290
24평거실,11,9,81.81818181818180
드림캐쳐,61,24,39.34426229508200
데시앙,16,3,18.75
화장품 트레이,11,5,45.45454545454550
부엌등,10,5,50.0
음악작업실,50,40,80.0
티브이다이,11,6,54.54545454545460
원형테이블 900,13,6,46.15384615384620
4인용식탁세트,16,6,37.5
씽크대선반,42,18,42.85714285714290
차렵이불패드세트,11,2,18.181818181818200
방화문,21,11,52.38095238095240
전자레인지선반,112,37,33.035714285714300
암막 블라인드,38,19,50.0
이불건조대,15,4,26.666666666666700
호텔형침대,10,6,60.0
티셔츠정리,15,3,20.0
아치형거울,18,9,50.0
서재방,52,40,76.92307692307690
주방 타일,38,30,78.94736842105260
우드 블라인드,24,19,79.16666666666670
발뮤다더레인지,16,10,62.5
안방서랍장,22,16,72.72727272727270
옷행거,25,11,44.0
아이방커튼,99,81,81.81818181818180
수납 전신거울,11,5,45.45454545454550
단모러그,14,3,21.428571428571400
빨래바구니,642,309,48.13084112149530
북케이스,10,4,40.0
옷커버,51,23,45.09803921568630
이중커튼,36,22,61.11111111111110
스탠모어2,13,5,38.46153846153850
이케아욕실,13,7,53.84615384615390
거실 협탁,17,11,64.70588235294120
2인용쇼파,132,55,41.66666666666670
붙이는거울,24,15,62.5
악세사리보관함,24,12,50.0
전기매트,19,4,21.05263157894740
궁중팬,13,3,23.07692307692310
원룸 옷장,18,14,77.77777777777780
데스커 책상,25,13,52.0
평상형침대프레임,16,12,75.0
온습도계,14,4,28.571428571428600
7평 원룸,13,9,69.23076923076920
주방커텐,19,10,52.63157894736840
무아스시계,10,5,50.0
셋탑박스,17,12,70.58823529411770
쓰레기통20,26,8,30.76923076923080
거울리폼,10,9,90.0
독서실 책상,18,11,61.11111111111110
