"search_keyword","cqc","iqc","avg_object_idx","rank_to_clickcnt","object_idx_list","object_id_list"
"패밀리침대","63.0","43.0","3.0700934579439254","{0=46, 1=30, 2=22, 3=25, 4=28, 5=23, 6=12, 7=15, 8=13}","[2, 0, 4, 7, 5, 6, 3, 0, 0, 0, 2, 6, 0, 0, 8, 7, 0, 5, 2, 6, 1, 3, 7, 0, 1, 7, 0, 4, 4, 6, 1, 1, 3, 3, 5, 8, 0, 0, 4, 6, 0, 3, 4, 1, 3, 1, 8, 5, 0, 4, 2, 3, 1, 3, 5, 7, 5, 0, 7, 1, 5, 8, 2, 0, 2, 1, 0, 2, 1, 3, 0, 7, 8, 6, 3, 3, 5, 1, 2, 1, 4, 0, 0, 0, 7, 0, 1, 1, 5, 2, 4, 5, 1, 2, 3, 1, 8, 3, 8, 1, 6, 4, 1, 0, 7, 7, 2, 3, 4, 5, 5, 1, 5, 0, 0, 0, 1, 4, 0, 0, 2, 4, 1, 5, 4, 4, 8, 5, 8, 5, 0, 7, 1, 3, 6, 4, 1, 1, 4, 1, 2, 2, 5, 0, 0, 0, 2, 5, 5, 3, 0, 0, 4, 4, 4, 5, 0, 2, 4, 0, 6, 4, 2, 0, 0, 1, 3, 7, 0, 3, 0, 4, 1, 4, 3, 6, 2, 0, 3, 7, 3, 2, 0, 0, 0, 3, 8, 4, 7, 4, 0, 7, 1, 0, 1, 3, 2, 3, 4, 5, 5, 6, 8, 3, 2, 5, 0, 8, 6, 4, 2, 1, 8, 4]","[10659191, 10956228, 2958860, 12776774, 10383218, 13943481, 12429744, 10956228, 10956228, 10956228, 10659191, 13943481, 10956228, 10956228, 9773060, 13943481, 10956228, 10383218, 10659191, 13943481, 10659194, 12429744, 9773060, 10956228, 10659194, 12776774, 10956228, 2958860, 2958860, 13943481, 10659194, 10659194, 12429744, 12429744, 10383218, 2958861, 10956228, 10956228, 2958860, 13943481, 10956228, 12429744, 2958860, 10659194, 12429744, 10659194, 9773060, 10383218, 10956228, 2958860, 10659191, 12429744, 10659194, 12429744, 10383218, 12776774, 10383218, 10956228, 12776774, 10659194, 10383218, 9773060, 10659191, 10956228, 10659191, 10659194, 10956228, 10659191, 10659194, 12429744, 10956228, 9773060, 9773060, 13943481, 12429744, 12429744, 10383218, 10659194, 10659191, 10659194, 2958860, 10956228, 10956228, 10956228, 12776774, 10956228, 10659194, 10659194, 10383218, 10659191, 2958860, 10383218, 10659194, 10659191, 12429744, 10659194, 9773060, 12429744, 9773060, 10659194, 13943481, 2958860, 10659194, 10956228, 12776774, 12776774, 10659191, 12429744, 2958860, 10383218, 10383218, 10659194, 10383218, 10956228, 10956228, 10956228, 10659194, 2958860, 10956228, 10956228, 10659191, 2958860, 10659194, 10383218, 2958860, 2958860, 9773060, 10383218, 9773060, 9773060, 10956228, 9773060, 10659194, 12429744, 13943481, 2958860, 10659194, 10659194, 2958860, 10659194, 10659191, 10659191, 10383218, 10956228, 10956228, 10956228, 10659191, 10383218, 10383218, 12429744, 10956228, 10956228, 2958860, 2958860, 2958860, 10383218, 10956228, 10659191, 2958860, 10956228, 13943481, 2958860, 10659191, 10956228, 10956228, 10659194, 12429744, 12776774, 10956228, 12429744, 10956228, 2958860, 10659194, 2958860, 12429744, 13943481, 10659191, 10956228, 12429744, 9773060, 12429744, 10659191, 10956228, 10956228, 10956228, 12429744, 9773060, 2958860, 12776774, 2958860, 10956228, 12776774, 10659194, 10956228, 10659194, 12429744, 10659191, 12429744, 2958860, 9773060, 10383218, 13943481, 9773060, 12429744, 10659191, 10383218, 10956228, 9773060, 13943481, 2958860, 10659191, 10659194, 2958861, 2958860]"
"전선몰딩","21.0","5.0","3.56","{0=8, 1=1, 2=3, 3=1, 4=2, 6=2, 7=5, 8=3}","[0, 8, 2, 7, 7, 0, 8, 2, 0, 7, 0, 1, 6, 4, 0, 4, 0, 8, 7, 2, 0, 0, 7, 6, 3]","[2681815, 10494808, 14597801, 15207251, 15207251, 2681815, 15207251, 14597801, 2681815, 15207251, 2681815, 4596460, 4426556, 14597800, 4596460, 115932, 2681815, 15207251, 15207251, 14597801, 2681815, 2681815, 15207251, 4426556, 15207251]"
"페브리즈","50.0","39.0","2.3333333333333335","{1=1, 2=1, 4=1}","[4, 1, 2]","[1305955, 1305954, 1357534]"
"스킨답서스","10.0","9.0","2.857142857142857","{0=2, 1=3, 2=1, 3=4, 5=2, 6=1, 7=1}","[1, 0, 3, 6, 3, 3, 2, 7, 3, 5, 5, 1, 1, 0]","[10510468, 12887676, 8552208, 10451965, 8658522, 8552208, 8705801, 12020381, 8658522, 10451965, 10451965, 10510468, 10510468, 12887676]"
"아이르","81.0","40.0","3.25","{0=1, 2=1, 3=3, 4=1, 5=1, 6=1}","[3, 6, 3, 4, 0, 2, 3, 5]","[15241106, 5772015, 15301679, 12687106, 15161393, 15241106, 15241106, 12687106]"
"긴테이블","14.0","8.0","4.384615384615385","{0=1, 4=3, 5=9}","[5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 0, 5, 5]","[2972286, 11724431, 14093510, 2972286, 14093510, 2972286, 14093510, 2972286, 2972286, 11724431, 2351568, 2972286, 2972286]"
"유리창청소","25.0","31.0","3.5714285714285716","{0=1, 3=3, 4=1, 6=2}","[3, 3, 6, 4, 6, 0, 3]","[13023439, 13023439, 14415664, 4285838, 14415664, 13309897, 4285838]"
"마늘다지기","78.0","27.0","2.6","{0=1, 1=1, 2=2, 8=1}","[0, 2, 8, 1, 2]","[6585940, 6251201, 6215374, 5261315, 6251201]"
"변기솔","343.0","176.0","2.769230769230769","{0=3, 1=10, 2=9, 3=4, 4=6, 5=2, 6=3, 8=2}","[2, 5, 5, 4, 1, 1, 0, 2, 1, 2, 4, 2, 8, 8, 1, 1, 1, 2, 1, 2, 3, 1, 4, 4, 6, 4, 3, 1, 6, 2, 6, 2, 3, 0, 3, 1, 2, 4, 0]","[13842282, 15236326, 10978774, 14284547, 13842282, 13842282, 4377624, 13842282, 13842282, 13842282, 15236326, 986596, 3179594, 3179594, 10016292, 13842282, 10208858, 14284547, 13842282, 14284547, 986596, 10208858, 12381539, 15236326, 3179594, 12381539, 13373109, 13842282, 12381539, 14284547, 15236326, 13842282, 15236326, 12424766, 14284547, 13842282, 13842282, 14284547, 4377624]"
"게이밍","137.0","31.0","1.967741935483871","{0=14, 1=6, 2=2, 3=1, 4=3, 6=1, 7=2, 8=2}","[1, 7, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 2, 0, 1, 1, 4, 4, 7, 0, 2, 4, 0, 8, 1, 0, 3]","[9214252, 8413419, 9185672, 9185672, 8950280, 9185672, 9185672, 9185672, 9185672, 9185672, 9185672, 9214252, 9185672, 10659202, 9185672, 12933411, 9269143, 9185672, 10659202, 10659202, 12480901, 13066483, 9102051, 9185672, 13066483, 12480901, 9185672, 8413419, 9269143, 9185672, 13066483]"
"2인식기세트","12.0","4.0","4.5","{2=2, 7=2}","[7, 7, 2, 2]","[9196656, 9196656, 13263621, 7043312]"
"폴라앳홈","12.0","9.0","2.6","{1=2, 2=1, 4=1, 5=1}","[2, 4, 5, 1, 1]","[15054373, 14827458, 14827458, 12359678, 12359678]"
"아일랜드의자","151.0","59.0","3.21875","{0=7, 1=5, 2=3, 3=4, 4=2, 5=3, 6=2, 7=3, 8=3}","[3, 0, 4, 3, 0, 5, 0, 0, 3, 1, 0, 3, 0, 5, 1, 0, 6, 7, 7, 2, 7, 4, 8, 6, 1, 8, 1, 5, 2, 2, 1, 8]","[13192329, 13765864, 13765864, 14168305, 14382256, 10711495, 13192329, 13192329, 13192329, 10711495, 13192329, 10711495, 10323275, 14387948, 10323275, 14382256, 13842275, 13842275, 13579911, 14168305, 13842275, 12415686, 13765864, 12415686, 14382256, 13765864, 13192329, 12415686, 13192329, 10711495, 13192329, 13666623]"
"파워플랜트","22.0","5.0","0.0","{0=1}","[0]","[10092272]"
"레이스커튼","453.0","281.0","3.072289156626506","{0=19, 1=8, 2=15, 3=7, 4=11, 5=7, 6=3, 7=5, 8=8}","[7, 8, 4, 8, 0, 0, 5, 5, 4, 1, 0, 0, 5, 0, 2, 2, 1, 4, 6, 0, 1, 0, 2, 0, 3, 5, 2, 4, 7, 3, 1, 0, 6, 5, 4, 8, 0, 3, 4, 8, 2, 2, 0, 5, 3, 8, 0, 0, 8, 2, 6, 2, 3, 1, 0, 0, 4, 7, 2, 4, 3, 1, 7, 0, 2, 4, 2, 0, 3, 2, 2, 5, 4, 4, 2, 0, 7, 1, 1, 0, 8, 8, 2]","[11184327, 14237774, 10465058, 11184327, 10742936, 9171246, 3993004, 10395543, 10465058, 10863920, 10742936, 10742936, 10395543, 10742936, 10433463, 9183210, 10395543, 9171246, 14356889, 10742936, 10395543, 10742936, 10089095, 10742936, 9183210, 10465058, 10433463, 10395543, 11184327, 9183210, 10395543, 9171246, 10465058, 6389104, 9183210, 11184327, 10742936, 10497974, 10395543, 11184327, 9183210, 10433463, 10742936, 6389104, 10497974, 11184327, 10742936, 10742936, 6389104, 10433463, 3993004, 10089096, 9183210, 10863920, 10742936, 9171246, 10465058, 14356889, 9183210, 10465058, 9183210, 10863920, 14356889, 9171246, 10089096, 9171246, 9183210, 9171246, 10497974, 9183210, 9183210, 6389104, 10395543, 10395543, 10089096, 10742936, 6389104, 10395543, 10863920, 9171246, 14237774, 11184327, 9183210]"
"잡지","31.0","5.0","3.0","{0=4, 1=3, 2=2, 3=4, 4=2, 5=2, 6=3, 8=1}","[0, 6, 6, 0, 3, 4, 1, 1, 0, 1, 2, 2, 3, 8, 4, 6, 3, 3, 5, 0, 5]","[11450802, 13357833, 7746388, 11450802, 13357833, 13357833, 8719386, 8719386, 11450802, 8719386, 11937390, 11937390, 13357833, 13420024, 9013871, 7746388, 9013871, 9013871, 7746388, 11450802, 8834068]"
"변기","66.0","28.0","3.2","{0=4, 1=2, 2=4, 3=1, 4=3, 5=2, 6=1, 7=1, 8=2}","[0, 7, 8, 6, 8, 4, 3, 2, 0, 5, 4, 4, 2, 5, 1, 1, 0, 2, 0, 2]","[10339972, 13440719, 10339949, 12131264, 13973159, 13373109, 12032588, 10339972, 10339972, 12131265, 13373109, 13373109, 13025505, 13373109, 10339964, 13025505, 9196687, 13025505, 9196687, 10339972]"
