search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword.bm25,f__desc.prod.bm25,f__desc.keyword.bm25,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__has_tag,f__is_project
이케아 소파,1,0.07894736842105263,12531705,54.79,14.09,32,2,18,2,0,194,136,49,25,0.0,0.24286655,0.0,0.0,0.072717905,0.06899409,0.10185784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
이케아 소파,1,0.08823529411764706,11235245,77.39,5.15,16,2,14,2,0,194,136,49,25,0.0,0.0,0.0,0.0,0.2972985,0.077066876,0.11880247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이케아 소파,1,0.09302325581395349,1446931,14.97,28.99,34,3,23,3,0,194,136,49,25,0.41183192,0.33836496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30568936,0.25688398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이케아 소파,0,0.03636363636363637,16674982,377.0,520.43,3,0,2,0,0,194,136,49,25,0.0,0.0,0.0,0.0,0.0,0.24541575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
메종드민,1,0.08888888888888889,13280259,31.72,2.35,16,2,7,2,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.43193093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67756736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
메종드민,1,0.08571428571428572,13379041,20.27,0.69,20,2,8,2,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.42978838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
메종드민,1,0.096,16396360,10.86,4.45,12,2,5,2,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.54584515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
메종드민,1,0.13793103448275865,13083669,18.15,0.89,22,5,9,4,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.53572017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403809,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
메종드민,1,0.08888888888888889,9610067,32.59,1.24,15,2,7,2,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.53572017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403809,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
메종드민,1,0.08888888888888889,14814967,43.33,0.94,17,4,7,2,0,87,80,10,11,0.0,0.0,0.0,0.0,0.0,0.54584515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
