search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword.bm25,f__desc.prod.bm25,f__desc.keyword.bm25,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
거실 수납장,0,0.03636363636363637,11705863,1029.33,2.36,3,0,2,0,0,121,101,13,10,0.24687597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,6.025866,0.0,0.00043558827,0.0,0.0
거실 수납장,0,0.03636363636363637,14722720,420.0,0.0,2,0,2,0,0,121,101,13,10,0.0,0.26871336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,7.1074257,0.0,0.06336415,1.0,0.0
거실 수납장,0,0.03636363636363637,12915121,984.5,0.5,2,0,2,0,0,121,101,13,10,0.056090295,0.0,0.0,0.0,0.0,0.0,0.1851837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849067,5.8406415,0.0,0.0043618297,1.0,1.0
거실 수납장,0,0.03636363636363637,11508002,549.0,1.41,3,0,2,0,0,121,101,13,10,0.0,0.25265542,0.0,0.0,0.14909703,0.0,0.1337546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08659376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,6.0450053,0.0,0.0003188146,1.0,0.0
거실 수납장,0,0.03125,15121119,19.65,1.13,17,0,12,0,0,121,101,13,10,0.08411732,0.14754751,0.0,0.0,0.14416815,0.0,0.14632973,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8903718,0.0,0.0,0.0,0.10825157,1.0,0.0
거실 수납장,0,0.030303030303030304,13122373,14.72,0.73,18,0,13,0,0,121,101,13,10,0.26635224,0.2992589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18068977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493,5.7071104,0.0,0.006148034,1.0,1.0
거실 수납장,0,0.03333333333333333,16627103,186.5,2.69,4,0,4,0,0,121,101,13,10,0.1243402,0.23335949,0.0,0.0,0.117949195,0.0,0.10177936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.64349484,1.0,0.0
거실 수납장,0,0.03636363636363637,16054812,672.67,0.47,3,0,2,0,0,121,101,13,10,0.28113845,0.08530622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,4.644391,0.0,0.34759903,1.0,0.0
거실 수납장,0,0.03333333333333333,4074476,183.25,0.83,4,0,4,0,0,121,101,13,10,0.26271042,0.08222607,0.0,0.0,0.0,0.0,0.17360756,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,3.4011974,7.471363,0.0,1.8656003e-10,1.0,0.0
거실 수납장,0,0.03636363636363637,10020469,448.0,0.0,3,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.15603912,0.0,0.19732133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,4.8598123,0.0,2.0993126e-05,1.0,0.0
거실 수납장,0,0.034782608695652174,9312790,264.0,4.24,4,0,3,0,0,121,101,13,10,0.0,0.32235694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20909044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0445225,5.0998664,0.0,5.524754e-06,0.0,1.0
거실 수납장,0,0.03636363636363637,9462370,539.0,1.41,3,0,2,0,0,121,101,13,10,0.0,0.061756693,0.0,0.0,0.19732708,0.0,0.088144675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06527425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493,3.465736,7.6539693,0.0,7.347431e-06,1.0,0.0
거실 수납장,0,0.03636363636363637,12407637,1020.5,3.5,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.20970756,0.0,0.11402626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,4.543295,0.0,0.0016539434,1.0,0.0
거실 수납장,0,0.03636363636363637,7201148,383.0,2.83,3,0,2,0,0,121,101,13,10,0.06012955,0.22880632,0.0,0.0,0.0,0.0,0.06230309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,3.5553482,6.1484685,9.816949,0.0,1.3755421e-07,1.0,1.0
거실 수납장,0,0.03076923076923077,6746607,123.43,0.9,7,0,6,0,0,121,101,13,10,0.23232505,0.2145417,0.0,0.0,0.16510227,0.0,0.08708412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,5.1532917,0.0,6.593297e-08,1.0,0.0
거실 수납장,0,0.06060606060606061,14260904,5.24,0.64,16,1,13,1,0,121,101,13,10,0.14000589,0.23192835,0.0,0.0,0.17004046,0.0,0.16106851,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.059487425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,2.1972246,5.880533,0.0,0.030354576,1.0,0.0
거실 수납장,0,0.032,7931333,167.8,1.47,5,0,5,0,0,121,101,13,10,0.0609234,0.16731857,0.0,0.0,0.10290124,0.0,0.19159023,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,3.6635616,5.4930615,8.625509,0.0,4.4529952e-07,1.0,0.0
거실 수납장,0,0.02857142857142857,6624516,0.0,0.0,17,0,15,0,0,121,101,13,10,0.3373153,0.0,0.0,0.0,0.2925368,0.0,0.1337546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373153,0.0,0.0,0.0,0.2925368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166847e-08,1.0,0.0
거실 수납장,0,0.03333333333333333,16103260,180.0,3.74,4,0,4,0,0,121,101,13,10,0.0,0.2490694,0.0,0.0,0.11553555,0.0,0.10177936,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.15010642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.6931472,4.59512,0.0,0.3654649,1.0,0.0
거실 수납장,0,0.03636363636363637,5572,819.0,1.0,2,0,2,0,0,121,101,13,10,0.0,0.2992589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18068977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,3.7612002,7.7527647,0.0,3.372583e-39,0.0,1.0
