"search_keyword","qc","cc","ctr","uqc","ucc","uctr"
"티비삼각대","12","3","25.0","3","3","100.0"
"마당마감","12","10","83.33333333333333","1","1","100.0"
"가벽 드레스룸","88","83","94.31818181818181","5","5","100.0"
"거실조명등","19","8","42.10526315789474","9","5","55.55555555555556"
"주방 그릇장","18","14","77.77777777777777","2","2","100.0"
"욕실디퓨저","26","11","42.30769230769231","8","2","25.0"
"비스포크","416","282","67.78846153846153","91","48","52.747252747252745"
"그레이 인테리어","106","61","57.54716981132076","25","17","68.0"
"아가","11","10","90.9090909090909","1","1","100.0"
"김치냉장고 홈바","10","6","60.0","2","1","50.0"
"서재티비","10","8","80.0","2","2","100.0"
"화장품정리","297","219","73.73737373737374","66","41","62.121212121212125"
"북서향","35","26","74.28571428571429","4","3","75.0"
"수납헹거","12","2","16.666666666666668","5","2","40.0"
"거실쇼파테이블","14","11","78.57142857142857","3","2","66.66666666666667"
"실리콘덮개","14","4","28.571428571428573","9","2","22.22222222222222"
"붙박이장인테리어","155","121","78.06451612903226","31","25","80.64516129032258"
"수건수납장","123","77","62.60162601626016","36","21","58.333333333333336"
"주방 파티션","51","34","66.66666666666667","14","7","50.0"
"보조테이블","91","45","49.45054945054945","38","8","21.05263157894737"
" 화장실 인테리어","10","6","60.0","3","3","100.0"
"우편함","31","11","35.483870967741936","16","7","43.75"
"미드센추리","166","109","65.66265060240964","50","20","40.0"
"서재 데스커 책장","14","13","92.85714285714286","1","1","100.0"
"냉장고 위","10","6","60.0","3","2","66.66666666666667"
"네스프레소커피머신","167","116","69.46107784431138","41","15","36.58536585365854"
"통세라믹식탁","10","9","90.0","3","3","100.0"
"침대 가드","13","9","69.23076923076923","5","2","40.0"
"한샘키즈장","20","13","65.0","7","4","57.142857142857146"
"산리오","43","21","48.83720930232558","20","6","30.0"
"카펫타일","116","76","65.51724137931035","31","17","54.83870967741935"
"매트리스 패드","48","30","62.5","15","5","33.333333333333336"
"베란다 원룸","10","7","70.0","3","2","66.66666666666667"
"스탠드행거","95","28","29.473684210526315","42","10","23.80952380952381"
