search_keyword,qc,cc,ctr,uqc,ucc,uctr
Muuto,11,2,18.181818181818183,6,2,33.333333333333336
베이직준,50,4,8.0,2,2,100.0
경량 수건,12,10,83.33333333333333,1,1,100.0
제주배송,24,2,8.333333333333334,10,2,20.0
베개카버,10,5,50.0,3,1,33.333333333333336
테이블스탠드,62,38,61.29032258064516,18,10,55.55555555555556
꽃 포스터,28,18,64.28571428571429,8,6,75.0
네일,93,45,48.38709677419355,38,17,44.73684210526316
대형 식물,40,25,62.5,11,9,81.81818181818181
스테이크나이프,26,19,73.07692307692308,6,6,100.0
세탁 세제,10,5,50.0,3,1,33.333333333333336
스마트 플러그,11,6,54.54545454545455,5,3,60.0
플라스틱테이블,28,5,17.857142857142858,14,4,28.571428571428573
아기주방놀이,13,7,53.84615384615385,4,2,50.0
스스디,46,27,58.69565217391305,15,15,100.0
글라스조명,54,43,79.62962962962963,9,6,66.66666666666667
다이슨선풍기,41,11,26.829268292682926,25,6,24.0
가림막커튼 쉬폰,24,18,75.0,1,1,100.0
창문시트,17,13,76.47058823529412,4,3,75.0
자취필수템,63,14,22.22222222222222,34,9,26.470588235294116
데코뷰 가리개커튼,26,15,57.69230769230769,2,2,100.0
아토,13,6,46.15384615384615,5,4,80.0
원목 tv장,11,3,27.272727272727273,4,2,50.0
led스탠드,124,68,54.83870967741935,32,20,62.5
디자인 추천,33,8,24.242424242424242,19,3,15.789473684210526
물걸레 로봇청소기,15,9,60.0,5,3,60.0
수저 정리함,180,84,46.666666666666664,70,32,45.714285714285715
이불커버 단품,12,8,66.66666666666667,2,2,100.0
오크빌,76,44,57.89473684210526,19,13,68.42105263157895
빈백의자,17,9,52.94117647058823,8,4,50.0
대리석트레이,76,51,67.10526315789474,19,15,78.94736842105263
보국전기요,23,16,69.56521739130434,5,5,100.0
홈캠,49,17,34.69387755102041,26,11,42.30769230769231
전자레인지 그릇,17,8,47.05882352941177,8,6,75.0
핑크 샤워기,12,10,83.33333333333333,2,2,100.0
도깨비방망이,30,8,26.666666666666668,15,4,26.666666666666668
3in1 충전기,135,73,54.074074074074076,38,26,68.42105263157895
전동다지기,12,7,58.333333333333336,4,3,75.0
60수,136,95,69.8529411764706,26,22,84.61538461538461
아르떼미떼,52,38,73.07692307692308,9,6,66.66666666666667
토뉴,30,10,33.333333333333336,17,8,47.05882352941177
로얄베일 구뜨,14,6,42.857142857142854,4,2,50.0
식탁 쇼파,20,9,45.0,5,3,60.0
무타공 액자걸이,14,10,71.42857142857143,3,3,100.0
모던러그,14,7,50.0,6,3,50.0
양키캔들워머세트,135,78,57.77777777777778,40,30,75.0
손잡이접시,56,36,64.28571428571429,15,10,66.66666666666667
원목발판,24,12,50.0,12,4,33.333333333333336
여행 사진,11,2,18.181818181818183,1,1,100.0
책상 밑 수납,17,6,35.294117647058826,10,4,40.0
블랙 오브제,31,21,67.74193548387096,6,5,83.33333333333333
미피이불,11,9,81.81818181818181,2,1,50.0
롤휴지케이스,50,22,44.0,29,12,41.37931034482759
노란색 쇼파,12,11,91.66666666666667,2,1,50.0
캔들등,11,7,63.63636363636363,2,2,100.0
침실 매트,20,12,60.0,6,4,66.66666666666667
컵정리선반,42,15,35.714285714285715,19,10,52.63157894736842
베드테이블 접이식,10,8,80.0,1,1,100.0
카고박스,60,37,61.666666666666664,18,16,88.88888888888889
데스크탑선반,23,7,30.434782608695652,13,5,38.46153846153846
안개분사,27,15,55.55555555555556,10,7,70.0
샤프란,29,21,72.41379310344827,9,8,88.88888888888889
고양이소파,11,7,63.63636363636363,3,3,100.0
6인용,12,2,16.666666666666668,4,1,25.0
아기가구,20,5,25.0,7,3,42.857142857142854
Led 조명,22,12,54.54545454545455,10,4,40.0
고흐 해바라기,17,11,64.70588235294117,4,3,75.0
일리 네스프레소,50,35,70.0,12,8,66.66666666666667
라탄 접시,12,8,66.66666666666667,4,2,50.0
세미마이크로,17,13,76.47058823529412,3,2,66.66666666666667
아크릴함,16,6,37.5,7,2,28.571428571428573
좁은주방,31,14,45.16129032258065,13,4,30.76923076923077
크로우캐년,1039,486,46.77574590952839,419,236,56.32458233890215
헤드셋 걸이,19,7,36.8421052631579,11,4,36.36363636363637
극락조,262,138,52.67175572519084,87,57,65.51724137931035
박나혜,13,11,84.61538461538461,3,3,100.0
패브릭 포스터 ,84,29,34.523809523809526,19,11,57.89473684210526
하트 틀,10,8,80.0,1,1,100.0
A4액자,17,9,52.94117647058823,7,6,85.71428571428571
와인장,42,15,35.714285714285715,25,8,32.0
서랍형 화장대,14,4,28.571428571428573,5,2,40.0
나무집게,43,18,41.86046511627907,21,16,76.19047619047619
긴책상,55,26,47.27272727272727,22,9,40.90909090909091
웨딩,32,16,50.0,10,5,50.0
커트러리 4p,22,20,90.9090909090909,1,1,100.0
보아르 필터,17,10,58.8235294117647,6,4,66.66666666666667
싱크대,799,339,42.428035043804755,361,129,35.73407202216067
엔틱 거울,136,92,67.6470588235294,21,17,80.95238095238095
데코뷰 테이블매트,10,0,0.0,5,0,0.0
100수차렵이불,12,7,58.333333333333336,3,3,100.0
정사각형 책상,10,3,30.0,8,3,37.5
캠핑 파라솔,51,32,62.745098039215684,13,12,92.3076923076923
원목 미니 테이블,15,4,26.666666666666668,2,2,100.0
테이블 800,174,109,62.64367816091954,38,29,76.3157894736842
곰인형,86,44,51.16279069767442,37,19,51.351351351351354
대리석좌식,16,12,75.0,2,2,100.0
암막,582,348,59.79381443298969,190,145,76.3157894736842
접이식 우드테이블,10,4,40.0,5,3,60.0
드롱기 아이코나,13,7,53.84615384615385,2,1,50.0
의자벤치,13,9,69.23076923076923,4,3,75.0
led바,18,10,55.55555555555556,9,7,77.77777777777777
아일랜드 수납,36,28,77.77777777777777,6,4,66.66666666666667
tv장1200,52,42,80.76923076923077,6,6,100.0
쉬폰커튼 핀형,12,7,58.333333333333336,3,1,33.333333333333336
Lg에어컨,21,15,71.42857142857143,8,8,100.0
우드 2단 행거,14,13,92.85714285714286,1,1,100.0
반려동물과 함께,33,7,21.21212121212121,20,3,15.0
아크릴 서랍,91,49,53.84615384615385,33,18,54.54545454545455
요가복,13,7,53.84615384615385,5,2,40.0
침대 등받이 쿠션,10,9,90.0,1,1,100.0
리퍼 전동드릴,13,4,30.76923076923077,1,1,100.0
잔망루피,15,8,53.333333333333336,6,3,50.0
스마트폰,19,10,52.63157894736842,7,4,57.142857142857146
리퍼 파티션,16,5,31.25,4,2,50.0
헤드리스 수납침대,15,9,60.0,3,2,66.66666666666667
플라워이불,52,41,78.84615384615384,8,5,62.5
야외 가림막,12,4,33.333333333333336,7,3,42.857142857142854
타공,66,19,28.78787878787879,35,12,34.285714285714285
바다포스터,74,46,62.16216216216216,21,14,66.66666666666667
불멍조명,12,7,58.333333333333336,4,3,75.0
그린 테이블,17,16,94.11764705882354,1,1,100.0
티라이트 캔들 홀더,11,8,72.72727272727273,1,1,100.0
차량용 방향제,49,26,53.06122448979592,19,13,68.42105263157895
화분대,81,42,51.851851851851855,30,13,43.333333333333336
브레드케이스,19,5,26.31578947368421,9,4,44.44444444444444
방커튼,17,7,41.1764705882353,8,2,25.0
행복주택 16형,11,0,0.0,7,0,0.0
키소켓,16,7,43.75,10,5,50.0
벨리드,14,8,57.142857142857146,5,5,100.0
자동핸드워시,21,10,47.61904761904762,6,5,83.33333333333333
우디홈,14,5,35.714285714285715,3,2,66.66666666666667
모자,157,57,36.30573248407644,75,29,38.666666666666664
화이트우드 주방,10,7,70.0,2,1,50.0
바다 조명,21,14,66.66666666666667,7,6,85.71428571428571
여름 누빔,11,7,63.63636363636363,4,3,75.0
업소용테이블,16,6,37.5,7,3,42.857142857142854
주방세재,19,10,52.63157894736842,8,4,50.0
스위치커버,339,138,40.70796460176991,138,62,44.927536231884055
