search_keyword,qc,cc,ctr,uqc,ucc,uctr
30 타워형,14,2,14.285714285714286,1,1,100.0
산리오,12,0,0.0,9,0,0.0
선정리,41,7,17.073170731707318,19,3,15.789473684210526
바 테이블,11,5,45.45454545454545,6,2,33.333333333333336
텀블러,16,0,0.0,15,0,0.0
애견방석,11,5,45.45454545454545,2,1,50.0
샤워기헤드,14,1,7.142857142857143,13,1,7.6923076923076925
작은투룸,16,15,93.75,1,1,100.0
마샬,53,7,13.20754716981132,35,4,11.428571428571429
빈백,164,24,14.634146341463415,116,19,16.379310344827587
어린이침대,13,8,61.53846153846154,7,3,42.857142857142854
8평 복층,12,10,83.33333333333333,1,1,100.0
18평아파트,26,14,53.84615384615385,2,2,100.0
강남,18,11,61.111111111111114,6,6,100.0
테라스 아파트,10,9,90.0,2,2,100.0
스탠드tv,22,13,59.09090909090909,3,1,33.333333333333336
후드,38,25,65.78947368421052,8,5,62.5
방석,178,35,19.662921348314608,123,14,11.382113821138212
보컨셉,31,22,70.96774193548387,6,5,83.33333333333333
스카겐,16,9,56.25,2,2,100.0
협탁보,12,1,8.333333333333334,9,1,11.11111111111111
체커보드 러그,29,4,13.793103448275861,19,2,10.526315789473685
행거,1088,379,34.83455882352941,489,126,25.766871165644172
오덴세,27,0,0.0,24,0,0.0
암막블라인드,58,18,31.03448275862069,23,5,21.73913043478261
수전,23,4,17.391304347826086,18,3,16.666666666666668
한샘 행거,11,3,27.272727272727273,5,1,20.0
냉장고정리,25,3,12.0,18,2,11.11111111111111
분리,39,25,64.1025641025641,9,7,77.77777777777777
아기,68,45,66.17647058823529,15,8,53.333333333333336
9평투룸,13,10,76.92307692307692,2,2,100.0
포세린타일,43,30,69.76744186046511,13,10,76.92307692307692
장난감수납,12,7,58.333333333333336,4,2,50.0
여아방,10,3,30.0,4,3,75.0
도배,81,53,65.4320987654321,23,12,52.17391304347826
좌식,94,50,53.191489361702125,28,12,42.857142857142854
led거울,10,1,10.0,3,1,33.333333333333336
매입등,20,13,65.0,5,4,80.0
신축 ,19,16,84.21052631578948,2,2,100.0
원룸구조,15,10,66.66666666666667,2,1,50.0
거실커텐,27,23,85.18518518518519,4,2,50.0
듀라렉스,13,0,0.0,4,0,0.0
식기건조기,14,5,35.714285714285715,8,2,25.0
트롤리,315,110,34.92063492063492,181,25,13.812154696132596
냉장고자석,11,3,27.272727272727273,8,2,25.0
15평원룸,11,4,36.36363636363637,2,1,50.0
8평 원룸,14,11,78.57142857142857,2,2,100.0
침대 협탁,72,10,13.88888888888889,50,5,10.0
벨벳의자,11,1,9.090909090909092,8,1,12.5
주방 타일,29,20,68.96551724137932,9,5,55.55555555555556
티비없는거실,64,39,60.9375,16,10,62.5
문손잡이,13,6,46.15384615384615,8,3,37.5
베란다 있는,44,33,75.0,1,1,100.0
15평인테리어,25,16,64.0,4,3,75.0
방문 손잡이,11,6,54.54545454545455,5,2,40.0
나무 선반,10,4,40.0,5,1,20.0
거실 러그,192,117,60.9375,53,25,47.16981132075472
32평구축,30,23,76.66666666666667,5,4,80.0
에어컨커버,28,7,25.0,19,3,15.789473684210526
싱크대수전,10,3,30.0,4,1,25.0
키친크로스,14,0,0.0,10,0,0.0
Tv,49,23,46.93877551020408,24,6,25.0
베란다 옷,12,9,75.0,1,1,100.0
거울,617,163,26.418152350081037,367,46,12.534059945504087
접이식식탁,57,17,29.82456140350877,24,5,20.833333333333332
일본감성,10,5,50.0,4,2,50.0
거실가로액자,14,13,92.85714285714286,1,1,100.0
1인쇼파,83,20,24.096385542168676,49,13,26.53061224489796
투베이,42,19,45.23809523809524,12,7,58.333333333333336
조미료 선반,10,2,20.0,1,1,100.0
거실서재,78,43,55.12820512820513,21,13,61.904761904761905
16평,46,33,71.73913043478261,8,8,100.0
서울,18,16,88.88888888888889,2,2,100.0
침구교체,30,5,16.666666666666668,7,3,42.857142857142854
허니콤블라인드,11,4,36.36363636363637,5,2,40.0
오트밀,15,10,66.66666666666667,4,2,50.0
신발장 조명,20,16,80.0,2,1,50.0
반신욕,10,0,0.0,10,0,0.0
바우하우스,16,7,43.75,8,4,50.0
25평 구축,17,14,82.3529411764706,2,2,100.0
자코모소파,16,4,25.0,5,2,40.0
중고,16,15,93.75,2,2,100.0
투앤투,23,3,13.043478260869565,1,1,100.0
우드톤 화장실,15,14,93.33333333333333,1,1,100.0
이사박스,17,7,41.1764705882353,7,1,14.285714285714286
레드,13,8,61.53846153846154,4,3,75.0
cd플레이어,64,9,14.0625,48,4,8.333333333333334
프렌치인테리어,10,5,50.0,3,2,66.66666666666667
주방정리,27,4,14.814814814814815,18,4,22.22222222222222
화이트엔그레이,22,0,0.0,1,0,0.0
복층 인테리어,179,135,75.41899441340782,30,22,73.33333333333333
유리수납장,12,11,91.66666666666667,1,1,100.0
에싸,29,14,48.275862068965516,11,7,63.63636363636363
스튜디오,121,63,52.06611570247934,32,19,59.375
창문커텐,12,5,41.666666666666664,3,1,33.333333333333336
원목 시스템,10,9,90.0,1,1,100.0
아치형 전신거울,27,2,7.407407407407407,22,2,9.090909090909092
tv테이블,18,16,88.88888888888889,1,1,100.0
접이식책상,13,2,15.384615384615385,10,1,10.0
스탠드옷걸이,10,4,40.0,6,2,33.333333333333336
행복주택,987,596,60.38500506585613,193,148,76.6839378238342
깃든,20,4,20.0,11,1,9.090909090909092
서재인테리어,55,28,50.90909090909091,21,8,38.095238095238095
5평방,18,14,77.77777777777777,4,4,100.0
놀이방,35,16,45.714285714285715,15,6,40.0
향수진열대,32,7,21.875,21,4,19.047619047619047
파벽돌,10,8,80.0,2,1,50.0
소파커버,138,43,31.159420289855074,73,11,15.068493150684931
2단 행거,12,1,8.333333333333334,8,1,12.5
아크릴테이블,28,9,32.142857142857146,17,4,23.529411764705884
화실,13,5,38.46153846153846,5,2,40.0
드라이기,29,0,0.0,29,0,0.0
타일,126,61,48.41269841269841,52,10,19.23076923076923
모던미드센츄리,25,5,20.0,4,2,50.0
맥시멀,45,32,71.11111111111111,10,7,70.0
다리미,41,1,2.4390243902439024,38,1,2.6315789473684212
그레이톤,36,14,38.888888888888886,13,6,46.15384615384615
600 서랍장,42,41,97.61904761904762,1,1,100.0
칫솔걸이,47,4,8.51063829787234,32,3,9.375
오렌지,21,12,57.142857142857146,5,4,80.0
주방 아일랜드,17,9,52.94117647058823,4,3,75.0
에스프레소머신,17,9,52.94117647058823,2,1,50.0
대형분갈이화분,10,4,40.0,1,1,100.0
반려견,70,41,58.57142857142857,20,14,70.0
벽 인테리어,15,8,53.333333333333336,6,3,50.0
공시생,12,0,0.0,12,0,0.0
잔디,13,3,23.076923076923077,10,1,10.0
거실레일조명,10,9,90.0,1,1,100.0
창문액자,13,11,84.61538461538461,3,2,66.66666666666667
가든,19,14,73.6842105263158,4,2,50.0
베이지인테리어,12,9,75.0,3,2,66.66666666666667
와인잔,30,0,0.0,30,0,0.0
비정형거울,31,13,41.935483870967744,13,4,30.76923076923077
부산아파트,18,16,88.88888888888889,1,1,100.0
두꺼비집,30,19,63.333333333333336,9,3,33.333333333333336
스툴,253,72,28.458498023715414,143,24,16.783216783216783
시스템 선반,21,16,76.19047619047619,4,4,100.0
세덱,11,4,36.36363636363637,4,2,50.0
쇼피,10,0,0.0,10,0,0.0
저상형침대,27,0,0.0,25,0,0.0
스텐드조명,45,12,26.666666666666668,22,3,13.636363636363637
침대이불,12,8,66.66666666666667,3,3,100.0
레이스 커튼,10,9,90.0,2,2,100.0
화이트벽지,15,8,53.333333333333336,5,3,60.0
침대 커버,24,4,16.666666666666668,18,2,11.11111111111111
모던미드센추리,94,60,63.829787234042556,25,14,56.0
베란다 2,10,9,90.0,1,1,100.0
천가리개,24,1,4.166666666666667,15,1,6.666666666666667
미니러그,21,4,19.047619047619047,14,1,7.142857142857143
방 인테리어,34,24,70.58823529411765,7,5,71.42857142857143
사진걸이,31,1,3.225806451612903,25,1,4.0
작은창커튼,22,5,22.727272727272727,13,3,23.076923076923077
사무실,94,44,46.808510638297875,42,14,33.333333333333336
침대스커트,23,7,30.434782608695652,16,3,18.75
리모델링/올수리,47,12,25.53191489361702,7,3,42.857142857142854
만화책,11,3,27.272727272727273,7,3,42.857142857142854
취미방,69,43,62.31884057971015,17,11,64.70588235294117
디스펜서,22,0,0.0,19,0,0.0
남매,24,16,66.66666666666667,4,4,100.0
딸방,13,7,53.84615384615385,6,3,50.0
화이트 원형테이블,10,9,90.0,1,1,100.0
패브릭 가리개,64,10,15.625,45,5,11.11111111111111
쇼파 뒤편,10,6,60.0,1,1,100.0
tv선반,33,22,66.66666666666667,7,3,42.857142857142854
20평 실링팬,12,11,91.66666666666667,1,1,100.0
ㄱ자거실,12,11,91.66666666666667,1,1,100.0
커텐천,20,9,45.0,5,2,40.0
시스템 행거,14,2,14.285714285714286,10,2,20.0
샤워실,15,3,20.0,1,1,100.0
1.5룸 인테리어,37,16,43.24324324324324,8,8,100.0
원룸소파,56,32,57.142857142857146,13,8,61.53846153846154
스타벅스,17,5,29.41176470588235,8,2,25.0
카트,16,1,6.25,11,1,9.090909090909092
거실복도,17,3,17.647058823529413,3,2,66.66666666666667
턴테이블,181,75,41.43646408839779,74,20,27.027027027027028
드레스룸 분리,15,10,66.66666666666667,1,1,100.0
데스크,82,39,47.5609756097561,40,13,32.5
코트랙,24,7,29.166666666666668,17,5,29.41176470588235
타공판,82,15,18.29268292682927,53,9,16.9811320754717
스탠드티비,10,3,30.0,5,2,40.0
나무도마,11,5,45.45454545454545,5,1,20.0
그릇장,52,24,46.15384615384615,22,7,31.818181818181817
투룸 거실,17,14,82.3529411764706,4,3,75.0
원목테이블,74,47,63.513513513513516,22,9,40.90909090909091
바테이블,139,78,56.115107913669064,41,18,43.90243902439025
베란다매트,58,22,37.93103448275862,30,8,26.666666666666668
