"search_keyword","qc","cc","ctr","uqc","ucc","uctr"
"사브르","1419","1390","102.0863309352518","343","295","116.27118644067797"
"컴터의자","42","29","144.82758620689654","5","4","125.0"
"아기패드","19","14","135.71428571428572","7","4","175.0"
"프리스비","24","33","72.72727272727273","2","2","100.0"
"드레스룸 서랍","17","6","283.3333333333333","15","5","300.0"
"20l 휴지통","112","79","141.77215189873417","20","15","133.33333333333334"
"저주파마사지기","10","5","200.0","3","3","100.0"
"실리팟","208","137","151.82481751824818","51","43","118.6046511627907"
"거실장 세트","17","21","80.95238095238095","6","5","120.0"
"신혼집 침대","17","60","28.333333333333332","2","2","100.0"
"티브없는거실","15","4","375.0","1","1","100.0"
"화장실 벽선반","23","13","176.92307692307693","7","7","100.0"
"일룸 캣타워","132","81","162.96296296296296","29","28","103.57142857142857"
"화장대 아크릴","17","7","242.85714285714286","5","4","125.0"
"톰스조명","14","9","155.55555555555554","2","2","100.0"
"롱스텐드","24","19","126.3157894736842","8","3","266.6666666666667"
"구급상자","1741","1129","154.207263064659","395","328","120.42682926829268"
"여자아이방","696","1116","62.365591397849464","90","74","121.62162162162163"
"에지리냄비","23","14","164.28571428571428","6","5","120.0"
"간이 침대","26","17","152.94117647058823","12","9","133.33333333333334"
"철재벙커침대","55","72","76.38888888888889","7","6","116.66666666666667"
"렉스퀸","15","7","214.28571428571428","3","2","150.0"
"DQ200PBBC","39","31","125.80645161290323","19","18","105.55555555555556"
"소형 건조대","24","19","126.3157894736842","5","5","100.0"
"피그먼트이불패드","14","13","107.6923076923077","1","1","100.0"
"입본장세트","17","14","121.42857142857143","2","2","100.0"
"등배게","18","13","138.46153846153845","8","4","200.0"
"코털","109","76","143.42105263157896","19","17","111.76470588235294"
"암막컨","10","1","1000.0","10","1","1000.0"
"매직리필","11","8","137.5","3","3","100.0"
"에이스","367","233","157.5107296137339","146","105","139.04761904761904"
"레노바티아","14","14","100.0","1","1","100.0"
"코르크","60","38","157.89473684210526","34","15","226.66666666666666"
"그린침구","30","30","100.0","5","3","166.66666666666666"
"스테인리스 거울","33","15","220.0","13","5","260.0"
"가림막커튼미니","14","12","116.66666666666667","1","1","100.0"
"7평 오피스텔","223","633","35.229067930489734","30","28","107.14285714285714"
"슬라툼","13","14","92.85714285714286","3","2","150.0"
"자석정리함","23","13","176.92307692307693","6","6","100.0"
"피규어수납","60","19","315.7894736842105","9","8","112.5"
"일식 숟가락","13","2","650.0","1","1","100.0"
"고기불판테이블","82","46","178.2608695652174","23","16","143.75"
"침대가리개","59","41","143.90243902439025","20","12","166.66666666666666"
"초록색 벽","16","20","80.0","2","2","100.0"
"시험관화병","37","22","168.1818181818182","9","8","112.5"
"위빙","36","17","211.76470588235293","18","10","180.0"
"벽타공","10","6","166.66666666666666","6","3","200.0"
"핸슨프라임","18","13","138.46153846153845","7","7","100.0"
"더크림드레스룸","29","27","107.4074074074074","2","2","100.0"
"침대 청소","12","6","200.0","7","5","140.0"
"야자 나무","17","15","113.33333333333333","2","1","200.0"
"현관문자석선반","10","5","200.0","5","3","166.66666666666666"
"서랍장 화장대","182","253","71.93675889328063","41","38","107.89473684210526"
"우드롱스탠드","11","3","366.6666666666667","2","1","200.0"
"주방수납장식탁","11","7","157.14285714285714","3","3","100.0"
"플라워가랜드","15","13","115.38461538461539","5","3","166.66666666666666"
"달리 시계","19","14","135.71428571428572","10","9","111.11111111111111"
"차탁자","10","9","111.11111111111111","3","2","150.0"
"헬스장","46","29","158.6206896551724","19","12","158.33333333333334"
"emfptmfna","18","18","100.0","8","8","100.0"
"동그란거울","32","18","177.77777777777777","5","5","100.0"
"냉장고보드","154","120","128.33333333333334","31","23","134.7826086956522"
"아쿠아쇼파4인용","12","11","109.0909090909091","1","1","100.0"
"템바보드벽","47","44","106.81818181818181","9","6","150.0"
"뽀모도로","20","10","200.0","11","5","220.0"
"못없이 ","20","15","133.33333333333334","7","7","100.0"
"상상후 패브릭 포스터","16","6","266.6666666666667","2","2","100.0"
"비빔밥그릇","104","51","203.92156862745097","33","23","143.47826086956522"
"럭,","14","9","155.55555555555554","12","7","171.42857142857142"
"이레카","12","6","200.0","3","2","150.0"
"화장실 자갈","17","12","141.66666666666666","4","3","133.33333333333334"
"한경희","79","44","179.54545454545453","40","25","160.0"
"옛날 창문 커튼","10","7","142.85714285714286","1","1","100.0"
"대나무 쟁반","20","16","125.0","2","2","100.0"
"미라스","36","22","163.63636363636363","16","12","133.33333333333334"
"모튤트롤리","13","13","100.0","1","1","100.0"
"포토메리온커피잔","61","49","124.48979591836735","5","5","100.0"
"골드사이드테이블","27","22","122.72727272727273","5","5","100.0"
"문시계","15","12","125.0","1","1","100.0"
"매드독캠프","72","38","189.47368421052633","17","11","154.54545454545453"
"조각벽지","40","20","200.0","10","7","142.85714285714286"
"자루형 베개커버","14","6","233.33333333333334","5","3","166.66666666666666"
"독서실스탠드","36","18","200.0","8","7","114.28571428571429"
"라운드라운드","83","56","148.21428571428572","19","18","105.55555555555556"
"강아지장난감","168","131","128.24427480916032","36","31","116.12903225806451"
"vittsjo","11","3","366.6666666666667","2","1","200.0"
"안경트레이","36","23","156.52173913043478","11","7","157.14285714285714"
"차량용휴지통","72","91","79.12087912087912","18","14","128.57142857142858"
"슬라이딩옷장2400","12","9","133.33333333333334","5","5","100.0"
"Q4","94","43","218.6046511627907","32","25","128.0"
"쉬폰커톈","11","7","157.14285714285714","1","1","100.0"
"유아의자","326","170","191.76470588235293","96","57","168.42105263157896"
"고재판넬","11","6","183.33333333333334","3","3","100.0"
"침구세트k","19","20","95.0","3","3","100.0"
"샘베딩베이직옷장","11","4","275.0","2","1","200.0"
"엔슬립","13","7","185.71428571428572","4","4","100.0"
"폽업","11","8","137.5","5","3","166.66666666666666"
"덴비 머그컵","20","8","250.0","2","2","100.0"
"무점착창문시트지","18","14","128.57142857142858","2","2","100.0"
"리모델링순서","19","14","135.71428571428572","3","3","100.0"
"시화mtv","13","2","650.0","8","1","800.0"
"디디오랩 가습기","10","5","200.0","5","4","125.0"
"핑크핑크 원룸","16","16","100.0","1","1","100.0"
"싱글수납침대","304","226","134.5132743362832","43","41","104.8780487804878"
"민원","14","3","466.6666666666667","2","1","200.0"
"삼성태블릿","36","22","163.63636363636363","7","5","140.0"
"뉴욕 ","14","28","50.0","2","2","100.0"
"의자쿠션","382","249","153.41365461847388","163","104","156.73076923076923"
"현관 가리개","313","268","116.7910447761194","66","56","117.85714285714286"
"작은방드레스룸","59","46","128.2608695652174","18","17","105.88235294117646"
"마이플랜트화분","69","58","118.96551724137932","1","1","100.0"
"kk","39","26","150.0","9","8","112.5"
"봄이불 sk","10","12","83.33333333333333","1","1","100.0"
"웨이브의자","11","5","220.0","2","1","200.0"
"마루바닥","234","184","127.17391304347827","49","38","128.94736842105263"
"냉장고손잡이","27","5","540.0","12","4","300.0"
"나무조화화분","11","9","122.22222222222223","1","1","100.0"
" 네모난 탁자","16","1","1600.0","1","1","100.0"
"지정배송","28","11","254.54545454545453","13","9","144.44444444444446"
"거실패브릭포스터","33","75","44.0","5","4","125.0"
"폴딩 체어","57","46","123.91304347826087","13","11","118.18181818181819"
"화장품 정리","1513","1183","127.89518174133559","330","263","125.47528517110266"
"자주거실화","11","8","137.5","3","3","100.0"
"벽부등","157","78","201.28205128205127","56","32","175.0"
"이케아선반장","11","3","366.6666666666667","4","2","200.0"
"구르미","14","8","175.0","6","4","150.0"
"숟가락살균기","10","5","200.0","3","2","150.0"
"한솔마루","15","13","115.38461538461539","3","3","100.0"
"800 키큰 수납장","18","15","120.0","2","2","100.0"
"먼데이하우스 소파","679","459","147.93028322440088","201","180","111.66666666666667"
"줄 조명","95","78","121.7948717948718","34","23","147.82608695652175"
"샤오미필터","10","4","250.0","5","4","125.0"
"가방 쇼케이스","13","11","118.18181818181819","2","2","100.0"
"오투가구 책상","11","3","366.6666666666667","4","2","200.0"
"주방 서랍 수납","10","16","62.5","1","1","100.0"
"행잉포켓주머니","22","31","70.96774193548387","1","1","100.0"
"모달패드","188","114","164.91228070175438","43","37","116.21621621621621"
