search_keyword,qc,cc,ctr,uqc,ucc,uctr
3평,20,9,45.0,5,2,40.0
책장,629,9,1.4308426073131955,435,5,1.1494252873563218
마스킹테이프 몰딩,14,10,71.42857142857143,1,1,100.0
계란트레이,17,0,0.0,12,0,0.0
투룸 거실 티비 위치,14,11,78.57142857142857,1,1,100.0
서랍책상,13,0,0.0,4,0,0.0
사이잘룩 ,12,11,91.66666666666667,1,1,100.0
책상의자,64,1,1.5625,49,1,2.0408163265306123
포스터 사이즈,19,14,73.6842105263158,2,1,50.0
인테리어 벽시계,12,0,0.0,7,0,0.0
컴퓨터 책상,94,0,0.0,67,0,0.0
선반장,81,0,0.0,63,0,0.0
장판 물기,16,14,87.5,1,1,100.0
포더홈,16,1,6.25,12,1,8.333333333333334
수저,80,0,0.0,66,0,0.0
욕실 시트지,14,3,21.428571428571427,7,2,28.571428571428573
하수구덮개,29,12,41.37931034482759,13,2,15.384615384615385
샤워기헤드,23,0,0.0,17,0,0.0
호텔수건,23,5,21.73913043478261,12,1,8.333333333333334
도자기화병,22,0,0.0,16,0,0.0
블루밍홈,11,0,0.0,8,0,0.0
이사박스,11,1,9.090909090909092,6,1,16.666666666666668
빨래,12,0,0.0,11,0,0.0
하부장,15,0,0.0,10,0,0.0
낮은 수납장,17,0,0.0,11,0,0.0
틈새수납,55,0,0.0,36,0,0.0
아기침대,38,8,21.05263157894737,22,3,13.636363636363637
벽걸이 조명,13,2,15.384615384615385,8,1,12.5
6인용식탁,24,0,0.0,18,0,0.0
전신거울 걸이,10,0,0.0,4,0,0.0
서랍장1200,27,1,3.7037037037037037,19,1,5.2631578947368425
스타일러,33,5,15.151515151515152,23,1,4.3478260869565215
침대 프레임 슈퍼싱글,22,0,0.0,16,0,0.0
사운드바,13,0,0.0,10,0,0.0
전자렌지선반,23,0,0.0,17,0,0.0
안마의자,35,0,0.0,29,0,0.0
우산꽂이,73,0,0.0,55,0,0.0
원목수납장,23,0,0.0,15,0,0.0
식탁매트,103,2,1.941747572815534,68,1,1.4705882352941178
대형식물,12,0,0.0,5,0,0.0
코너선반,51,1,1.9607843137254901,43,1,2.3255813953488373
미니 책꽂이,11,0,0.0,9,0,0.0
보석함,34,0,0.0,20,0,0.0
캐비닛,16,0,0.0,12,0,0.0
다용도선반,14,0,0.0,7,0,0.0
책상 선반,39,0,0.0,28,0,0.0
신혼,32,20,62.5,9,3,33.333333333333336
변기커버,41,0,0.0,30,0,0.0
월세 화장실,27,26,96.29629629629629,1,1,100.0
사선 오피스텔,16,15,93.75,2,2,100.0
강아지집,40,0,0.0,30,0,0.0
칫솔꽂이,172,0,0.0,140,0,0.0
화분,260,24,9.23076923076923,174,4,2.2988505747126435
구스이불,11,1,9.090909090909092,7,1,14.285714285714286
에이센트,11,0,0.0,9,0,0.0
컵건조대,10,1,10.0,6,1,16.666666666666668
미니 서랍,12,0,0.0,6,0,0.0
전세 벽지,22,18,81.81818181818181,2,1,50.0
일체형침대,10,0,0.0,7,0,0.0
도어스토퍼,24,1,4.166666666666667,16,1,6.25
책 선반,29,0,0.0,21,0,0.0
커튼 통일,17,15,88.23529411764706,1,1,100.0
욕실 시트,10,7,70.0,1,1,100.0
앤틱,11,0,0.0,7,0,0.0
책상꾸미기,13,8,61.53846153846154,4,1,25.0
나무 선반,14,0,0.0,9,0,0.0
2인쇼파,87,1,1.1494252873563218,60,1,1.6666666666666667
시라쿠스접시,10,0,0.0,7,0,0.0
텐트,40,0,0.0,28,0,0.0
사계절 러그,14,0,0.0,11,0,0.0
lg냉장고,25,0,0.0,13,0,0.0
컴퓨터,35,10,28.571428571428573,15,2,13.333333333333334
와이드서랍장,10,0,0.0,10,0,0.0
침대 밑,13,9,69.23076923076923,1,1,100.0
이중커튼 커튼박스,14,12,85.71428571428571,1,1,100.0
원목 책상,45,8,17.77777777777778,34,1,2.9411764705882355
매트리스패드,12,0,0.0,12,0,0.0
트롤리,553,16,2.8933092224231465,387,6,1.550387596899225
샤오미 선풍기,16,1,6.25,11,1,9.090909090909092
암체어,50,1,2.0,40,1,2.5
