"search_keyword","commerce_search_count","integrated_search_count","order_usage_rate","ad_intype_rate","organic_rate","c","uc","r","ctr","cvr","search_fail_20_rate","search_fail_100_rate","filter_usage_rate","related_search_rate","date"
"아침향기","20","5","77.55102040816327","0.0","100.0","109","22","3585","63.63636363636363","0.0","60.0","50.0","36.36363636363637","0.0","2022-03-06"
"Tv","140","40","42.708333333333336","0.0","100.0","402","94","1062","66.66666666666667","0.0","55.55555555555556","48.148148148148145","5.208333333333333","5.208333333333333","2022-03-06"
"벽등","67","37","91.17647058823529","0.0","100.0","820","155","520","80.72289156626506","0.0","58.04195804195804","37.06293706293706","0.591715976331361","7.100591715976331","2022-03-06"
"화분거치대","29","28","78.94736842105263","0.0","100.0","276","59","1519","74.19354838709677","0.0","54.76190476190476","35.714285714285715","1.6129032258064515","9.67741935483871","2022-03-06"
"스피드랙","33","42","60.0","0.0","100.0","395","112","1090","87.2","0.0","26.923076923076923","20.512820512820515","3.937007874015748","1.5748031496062993","2022-03-06"
"이불세트","274","183","80.61674008810573","0.0","100.0","3303","553","114","86.76716917922948","0.0","41.935483870967744","28.602150537634408","8.429752066115702","7.947019867549669","2022-03-06"
"전자레인지선반","205","134","85.0828729281768","0.0","100.0","863","182","485","84.07960199004975","0.0","47.43589743589744","31.41025641025641","5.853658536585366","4.901960784313726","2022-03-06"
"양치컵","49","18","87.5","0.0","100.0","549","137","771","79.43262411347517","0.0","50.4","34.4","4.929577464788732","2.112676056338028","2022-03-06"
"onion","15","1","46.15384615384615","0.0","100.0","49","13","7119","84.61538461538461","0.0","25.0","16.666666666666668","7.6923076923076925","0.0","2022-03-06"
"프라이팬32","7","1","100.0","0.0","100.0","10","2","28878","100.0","0.0","0.0","0.0","100.0","0.0","2022-03-06"
"고양이침대","14","5","90.9090909090909","0.0","100.0","67","17","5433","78.94736842105263","0.0","53.84615384615385","30.76923076923077","5.2631578947368425","0.0","2022-03-06"
"뚜껑수저통","10","2","88.88888888888889","0.0","100.0","43","9","7917","72.72727272727273","0.0","36.36363636363637","36.36363636363637","16.666666666666668","0.0","2022-03-06"
"콘센트정리","21","11","80.95238095238095","0.0","100.0","116","34","3394","69.44444444444444","0.0","57.142857142857146","46.42857142857143","2.7777777777777777","8.571428571428571","2022-03-06"
"냉장고자석선반","6","3","85.71428571428571","0.0","100.0","36","8","9220","75.0","0.0","16.666666666666668","16.666666666666668","12.5","0.0","2022-03-06"
"일루일루","10","7","67.85714285714286","0.0","100.0","62","21","5787","105.0","0.0","37.5","12.5","4.761904761904762","0.0","2022-03-06"
"옷장","838","513","84.66494845360825","0.0","100.0","10768","1938","21","81.42658638258453","0.0","49.6077248038624","35.6065178032589","5.729877216916781","5.193621867881549","2022-03-06"
"미니행거","76","20","97.10144927536231","0.0","100.0","398","108","1080","65.51724137931035","0.0","56.074766355140184","45.794392523364486","0.8547008547008547","6.837606837606837","2022-03-06"
"수저받침대","12","5","100.0","0.0","100.0","82","18","4583","77.77777777777777","0.0","52.94117647058823","35.294117647058826","5.555555555555555","0.0","2022-03-06"
"커피포트","284","126","85.12396694214875","0.0","100.0","2951","566","125","82.18954248366013","0.0","41.71656686626746","30.339321357285428","3.409090909090909","5.057096247960848","2022-03-06"
"의자커버","86","49","84.81012658227849","0.0","100.0","648","153","665","71.15384615384616","0.0","53.54330708661417","40.94488188976378","3.125","2.5","2022-03-06"
"스윙소파","21","8","93.75","0.0","100.0","192","21","2133","89.65517241379311","0.0","25.0","16.666666666666668","6.896551724137931","3.5714285714285716","2022-03-06"
"애플펜슬","21","6","81.81818181818181","0.0","100.0","191","71","2142","72.36842105263158","0.0","36.507936507936506","34.92063492063492","1.2987012987012987","7.894736842105263","2022-03-06"
"일리커피캡슐","11","10","75.0","0.0","100.0","108","24","3617","92.3076923076923","0.0","20.0","15.0","3.8461538461538463","0.0","2022-03-06"
"욕실실내화","12","2","100.0","0.0","100.0","84","15","4491","73.6842105263158","0.0","47.36842105263158","36.8421052631579","5.2631578947368425","10.526315789473685","2022-03-06"
"코너장","125","57","89.4308943089431","0.0","100.0","1016","252","419","77.69516728624535","0.0","56.277056277056275","39.39393939393939","3.2967032967032965","8.823529411764707","2022-03-06"
"전면책장","60","34","94.54545454545455","0.0","100.0","638","99","676","82.4074074074074","0.0","44.44444444444444","29.62962962962963","3.7037037037037037","0.9259259259259259","2022-03-06"
"쉐누아파리","4","4","66.66666666666667","0.0","100.0","208","46","1979","86.0","0.0","39.53488372093023","27.906976744186046","1.9230769230769231","9.615384615384615","2022-03-06"
"세제","20","23","64.70588235294117","0.0","100.0","214","99","1937","61.0","0.0","77.10843373493977","65.06024096385542","1.9801980198019802","11.881188118811881","2022-03-06"
