"search_keyword","qc","uqc"
"lp플레이어","46","19"
"베란다타일","74","15"
"tv장","59","17"
"아이패드","37","16"
"리빙다이닝","112","12"
"우드","199","45"
"전자렌지수납장","50","12"
"10평","54","11"
"아기방꾸미기","384","35"
"북선반","81","33"
"홈캠핑","88","16"
"조리도구","26","11"
"휴도","12","11"
"불멍","43","17"
"캠핑","220","43"
"암체어","46","13"
"먼지털이","23","12"
"무선청소기","18","14"
"원형식탁","135","24"
"세탁실","275","37"
"투명테이블","51","20"
"피시방","190","15"
"라운지체어","87","13"
"왕자행거","119","13"
"크로우캐년","42","12"
"철제침대","117","16"
"쉬폰 패브릭 포스터","47","17"
"아치형 전신거울","57","11"
"모듈가구","106","30"
"여름 러그","125","21"
"1인 쇼파","45","18"
"핑크","205","36"
"소파쿠션","45","13"
"변기커버","19","11"
"바테이블","100","28"
"조적욕조","132","14"
"그릇","151","50"
"2인 쇼파","50","13"
"페인트","63","24"
"두꺼비집가리개","63","15"
"우산꽂이","22","13"
"패브릭 가리개","72","25"
"1.5룸","226","39"
"포스터패브릭","25","12"
"시스템행거","177","39"
"카펫","71","38"
"신발정리","44","15"
"라탄의자","60","22"
"에싸","121","17"
"모자정리","62","17"
"냄비","71","22"
"옷장정리","75","20"
"화장실인테리어","210","23"
"주방정리","60","12"
"화장품","44","14"
"tv없는거실","112","14"
"복층 인테리어","178","14"
"아르떼미데","59","12"
"매트리스 커버","39","17"
"오덴세","20","12"
"분리수거","106","43"
"재활용","34","11"
"거실 러그","63","19"
"현관인테리어","68","20"
"캡슐보관함","69","14"
"방","41","21"
"미니멀","73","19"
"3인용쇼파","52","22"
"거치대","16","11"
"거실 책장","108","12"
"바지걸이","28","24"
"화장품정리","40","13"
"서재형거실","143","14"
"칫솔걸이","49","20"
"여름러그","41","20"
"연필꽂이","34","12"
"강아지계단","22","11"
"책상정리","131","17"
"홈바테이블","51","12"
"썬캐쳐","27","13"
"1인 소파","82","21"
"#침실인테리어","65","15"
"침대 프레임 슈퍼싱글","24","12"
"인조잔디","38","16"
"컴퓨터방","308","45"
"빔프로젝트","23","12"
"타워형","108","18"
"스텐드","35","13"
"식탁 조명","148","14"
"Tv","66","18"
"콘센트","30","22"
"반지하","62","11"
"암막 블라인드","32","12"
"옷방","250","47"
"강아지","70","13"
"수납벤치","188","17"
"노트북 거치대","32","15"
"드라이기 거치대","57","13"
"학생방","251","31"
"투룸","253","47"
"침대 프레임","137","46"
"국민임대","43","12"
"리프트업테이블","34","14"
"교구장","134","15"
"가리개커튼","92","30"
"간접조명","34","15"
"게이밍책상","40","12"
"코트랙","87","15"
"욕실선반","80","23"
"바닥매트","39","16"
"원룸꾸미기","62","11"
"가습기","79","31"
"폴딩도어","69","11"
"그레이","61","16"
"#원룸","126","21"
"카페트타일","66","15"
"소품","78","15"
"블랙앤화이트","46","12"
"거실러그","128","30"
"아기침대","211","33"
"키친타올걸이","50","12"
"스텐드조명","18","12"
"접이식테이블","82","43"
"이케아 선반","36","13"
"2인용쇼파","23","14"
"문","26","11"
"침대패드","21","16"
"주방수납","63","16"
"전자렌지","33","12"
"주방인테리어","239","33"
"베개커버","114","39"
"시몬스","148","14"
"아트월","68","14"
"안락의자","35","11"
"오피스텔","105","28"
"벽조명","70","15"
"지누스","59","15"
"원형러그","68","27"
"정수기","50","22"
"해바라기","27","11"
"면기","76","12"
"요가매트","34","11"
"에어컨","146","35"
"침대협탁","146","38"
"티비거치대","153","32"
"브레드박스","69","12"
"커피포트","54","24"
"싱글침대","37","14"
"고양이","232","40"
"전등","19","15"
"속옷정리","45","12"
"체크러그","62","12"
"거실 인테리어","42","11"
"키보드","44","15"
"수세미","31","15"
"스피커","97","33"
"침대깔판","53","23"
"마당","187","12"
"코너장","45","14"
"자취","93","14"
"문손잡이","101","19"
"인센스","42","11"
"매트리스커버","112","50"
"미니 화장대","31","12"
"몰딩","75","20"
"공부방","223","37"
"주방수납장","120","32"
"다이닝룸","151","21"
"식물선반","58","13"
"슬라이딩옷장","29","14"
"행복주택 21형","68","11"
"오일병","42","11"
"파라솔","115","23"
"카페","92","26"
"집들이","114","17"
"규조토 발매트","26","16"
"러그 카페트","48","19"
"화장대 정리","149","12"
"초등학생방","171","19"
"로봇청소기","36","13"
"미니테이블","23","18"
"컵","72","39"
"침대테이블","32","20"
"헹거","82","27"
"욕실 선반","43","13"
"게스트룸","150","15"
"이케아 수납장","53","15"
"2인 소파","73","24"
"cd플레이어","81","32"
"책상 ","54","11"
"밥솥","75","36"
"분리수거함","185","50"
"매거진랙","33","13"
"제네바스피커","45","11"
"아일랜드식탁의자","43","14"
"식탁 의자","53","18"
"턴테이블","119","37"
"식탁세트","40","13"
"5평","79","13"
"좌식","59","14"
"가림막커튼","62","20"
"네트망","69","22"
"서재인테리어","86","12"
"스위치","59","21"
"시라쿠스","23","14"
"놀이방","155","23"
"상부장","22","11"
"화장대 거울","41","15"
"등받이쿠션","37","20"
"규조토","45","20"
"옥상꾸미기","119","14"
"펜트리","76","19"
"주방조명","118","16"
"비스포크냉장고","59","16"
"우드톤","47","14"
"#자취방","126","12"
"현관등","51","12"
"비스포크","227","17"
"빨래건조대","151","48"
"와인잔","68","24"
"자취방","71","14"
"노랑","41","16"
"평상","112","18"
"비정형거울","33","18"
"라탄","93","33"
"타일","204","46"
"수납함","73","28"
"접이식 테이블","38","17"
"장롱","45","11"
"실내화","119","46"
"화이트","61","15"
"체커보드","88","25"
"디퓨저","135","49"
"마틸라","15","14"
"미드센츄리모던","205","26"
"베드테이블","65","19"
"모니터","60","17"
"사진걸이","57","19"
"다락방","57","14"
"스타우브","39","12"
"사진","41","22"
"앞치마","22","14"
"아기옷장","69","13"
"샤워커튼","46","21"
"쇼파베드","38","18"
"맘마존","149","15"
"식기세척기","132","27"
"악세사리 보관함","92","12"
"음식물처리기","28","11"
"이층침대","112","20"
"알파룸","121","16"
"그릇정리대","38","13"
"가죽소파","100","17"
"실내화거치대","47","12"
"신혼희망타운","59","16"
"포크","45","12"
"화장실수납","31","13"
"파우더룸","199","29"
"블랙","123","22"
"아일랜드","98","24"
"벽","39","17"
"미니냉장고","36","14"
"탁상거울","45","16"
"쉬폰커튼","37","18"
"주방매트","177","43"
"침구","235","49"
"무채색","183","26"
"벽등","84","18"
"저상형침대","73","22"
"화장대 의자","69","19"
"세라믹식탁","77","20"
"대리석","43","11"
"미드센추리","68","14"
"웨인스코팅","75","14"
"베란다매트","33","15"
"테라스꾸미기","183","20"
"모자걸이","47","16"
"덕질존","77","14"
"옷정리","106","40"
"반원테이블","65","25"
"커튼봉","57","37"
"코일매트","62","17"
"옷정리함","51","15"
"믹서기","72","23"
"타일테이블","63","14"
"거실화","76","25"
"오타쿠","79","13"
"티테이블","67","24"
"벤치","62","12"
"일광전구","48","19"
"월넛","57","11"
"세탁기","47","21"
"원형 테이블","56","20"
"스탠바이미","45","15"
"물티슈케이스","17","11"
"흔들의자","79","23"
"좌식화장대","47","17"
"마샬","83","24"
"블랭킷","111","30"
"야외테이블","63","12"
"캄포소파","205","21"
"행복주택26형","120","16"
"제습기","56","31"
"텀블러","17","12"
"인터폰가리개","46","12"
"일룸","16","12"
"서랍","78","42"
"프레임","24","15"
"칫솔살균기","105","22"
"전기포트","69","25"
"리퍼마켓","16","14"
"가방정리","113","23"
"좌식 화장대","43","16"
"6인용식탁","67","14"
"주방등","32","11"
