"search_keyword","qc","uqc"
"화장대","1344","277"
"러그","917","276"
"책상","777","187"
"커튼","571","181"
"침대","380","137"
"전신거울","504","126"
"식탁","564","121"
"의자","286","121"
"책장","316","106"
"협탁","388","105"
"테이블","318","103"
"행거","290","101"
"거울","250","101"
"플랜테리어","220","99"
"조명","239","96"
"이불","235","94"
"홈카페","593","94"
"데스크테리어","388","91"
"선반","164","86"
"쇼파","312","86"
"옷장","244","85"
"서랍장","273","85"
"수납장","377","81"
"소파","327","80"
"온더테이블","96","79"
"침대프레임","169","73"
"드레스룸","485","72"
"베란다","520","66"
"패브릭포스터","142","65"
"블라인드","251","63"
"카페트","123","61"
"발매트","141","60"
"시계","184","60"
"중문","408","59"
"트롤리","263","59"
"원룸","260","58"
"주방","476","57"
"파티션","167","57"
"액자","183","56"
"서재","426","54"
"벙커침대","318","53"
"아기방","382","53"
"거실장","201","53"
"매트리스","132","52"
"여름이불","126","51"
"침실","280","50"
"암막커튼","118","50"
"포스터","155","49"
"화장실","384","45"
"복층","191","44"
"제로웨이스트","53","43"
"원형테이블","177","43"
"가벽","124","43"
"빨래바구니","137","41"
"아이방","369","41"
"화병","143","40"
"선풍기","97","39"
"벽시계","239","39"
"멀티탭","77","39"
"스툴","146","38"
"거실","317","38"
"쓰레기통","93","36"
"책꽂이","96","36"
"거실테이블","123","36"
"베란다꾸미기","317","35"
"화분","110","34"
"식물","121","34"
"빔프로젝터","187","34"
"침구교체","72","33"
"컴퓨터책상","142","33"
"식탁의자","153","32"
"욕실","363","31"
"빈티지","136","31"
"원목","136","31"
"홈오피스","315","31"
"청소기","38","31"
"커텐","107","31"
"좌식테이블","66","30"
"신발장","82","30"
"옷걸이","46","30"
"아일랜드식탁","189","29"
"스탠드","61","29"
"무드등","56","28"
"전자레인지","124","28"
"소파테이블","104","28"
"복층 오피스텔","218","28"
"사이드테이블","122","28"
"공간분리","150","28"
"쿠션","96","28"
"오브제","67","27"
"방꾸미기","125","27"
"수건","77","27"
"수저통","75","27"
"방석","47","27"
"모듈","93","27"
"빈백","65","27"
"붙박이장","131","27"
"벽지","89","27"
"테라스","199","26"
"침구","129","26"
